Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,adventskalender,"99,99",B00VEGU9J6,Shopping Queen - Beauty Calendar,"5,94","1,37",B00S5R0W3K,Kosmos 631888 - Die drei ??? Adventskalender 2015 - Löse die 24 geheimnisvollen Rätsel des Klettercanyons,"3,07","2,35",B012VRV04O,"Teekanne Adventkalender, 1er Pack (1 x 42 g)","3,01","1,75"
Amazon.de,huawei p8 lite hülle,"99,99",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"33,83","11,75",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"33,67","14,93",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"30,16","13,55"
Amazon.de,iphone 6 hülle,"99,99",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"36,68","9,88",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"27,84","3,9",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"26,97","5,9"
Amazon.de,lg g4 hülle,"99,99",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"24,98","16,06",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"24,79","11,62",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,04","0,97"
Amazon.de,fallout 4,"99,98",B00YSOD3RG,Fallout 4 Uncut - [PlayStation 4],"31,82","11,47",B00YSOCTQW,Fallout 4 Uncut [AT-PEGI] - [PC],"16,41","14,77",B012FFG2YK,Fallout 4 Uncut - Standard inkl. Steelbook (exkl. bei Amazon.de) - [PC],"9,65","9,55"
Amazon.de,ps4,"99,98",B00BIYAO3K,PlayStation 4 - Konsole (500GB),"19,4","15,58",B00ZPRPJF4,PlayStation 4 - Konsole Ultimate Player 1TB Edition [CUH-1116B],"19,33","2,89",B014J9R80M,PlayStation 4 - Konsole Ultimate Player 1TB Edition [CUH-1216B],"6,79","1,06"
Amazon.de,ps4 spiele,"99,98",B00V6IWT0E,Star Wars Battlefront - [PlayStation 4],"6,31","1,49",B00Y2JXATI,Need for Speed - [PlayStation 4],6,"0,36",B00XJTFKSQ,Assassin's Creed Syndicate - Special Edition - [PlayStation 4],"5,29","0,46"
Amazon.de,xbox one,"99,98",B00KB2WXJ8,Xbox One Konsole,"31,45","35,41",B013GRHYUW,Xbox One 500GB inkl. FIFA 16 + 1 Monat EA Access gratis,"11,2","6,52",B014R04IC4,Xbox One Elite Bundle,"10,52","4,34"
Amazon.de,( Leer ),"99,97",B013GBMTPS,"Veet for Men Gelcreme, 200 ml","0,42","0,3",B0144ME5ZK,"Pampers Windeln New Baby, Gr. 1 Newborn 2-5 kg Tragepack, 23 Stück","0,41","0,09",B0144MAJ8M,"Swiffer Bodenwischer, Komplett-Reinigungsystem, 1 Stück","0,32","0,59"
Amazon.de,aptamil,"99,97",B00BSNACII,"Aptamil Kindermilch 1+ ab 1 Jahr, 4er Pack (4 x 600 g)","38,51",2,B00BSNAC9C,"Aptamil Kindermilch 2+ ab 2 Jahren, 4er Pack (4 x 600 g)","21,76","1,56",B00FF6EHCG,"Aptamil Pronutra 3 Folgemilch, ab dem 10. Monat, 3er Pack (3 x 1.2 kg)","8,04","10,92"
