Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,adventskalender,100,B00F95UZS8,"Intersnack Snack Adventskalender, 1er Pack (1 x 685 g)","3,9","1,39",B00J3I6CPC,"Smart Jewel Schmuck-Adventskalender ""Frohe Weihnachten"" 889005312","3,58","0,72",B007TPO6OA,Gib diesem Adventskalender den Rest!,"2,87","1,38"
Amazon.de,adele,"99,99",B00L98V4UW,25,"84,07","8,76",B004AB2JVI,21,"7,24","6,15",B000XGDO04,19,"4,72","4,96"
Amazon.de,kindle,"99,99",B00QJDO0QC,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","37,39","2,04",B00JG8GBDM,"Kindle Paperwhite (6. Generation), 15 cm (6 Zoll) hochauflösendes Display (212 ppi) mit integrierter Beleuchtung, WLAN","15,4","9,43",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","11,52","2,79"
Amazon.de,tablet,"99,99",B00ZDWLEEG,"Fire, 17,7 cm (7 Zoll) Display, WLAN, 8 GB - mit Spezialangeboten","42,77","0,7",B00JXALVGK,"Logitech UltraThin Folio für Samsung Galaxy Tab 4 25,7 cm (10,1 Zoll) (QWERTZ, deutsches Tastaturlayout) schwarz","17,16","16,49",B00J4IC1RO,"Lenovo A10-70 25,7 cm (10,1 Zoll HD-IPS) Tablet (ARM MTK 8121 QC, 1,3GHz, 1GB RAM, 16GB eMMC, GPS, Android 4.2) midnight blau","4,47","0,75"
Amazon.de,adele 25,"99,98",B00L98V4UW,25,"93,6","14,16",B004AB2JVI,21,"1,7","1,07",B000XGDO04,19,"1,5","1,81"
Amazon.de,adventskalender für erwachsene,"99,98",B00MBK6HQS,,"4,48","11,16",3869135093,"Apfel, Zimt und Todeshauch 2015 - Krimi-Adventskalender","4,4","1,32",B00F95UZS8,"Intersnack Snack Adventskalender, 1er Pack (1 x 685 g)","4,05","0,76"
Amazon.de,adventskalender kinder,"99,98",3473442917,Wieso? Weshalb? Warum? Mini-Bilderspaß: Wieso? Weshalb? Warum? Adventskalender,"4,99","3,3",3941118609,Leo Lausemaus 24 Adventsgeschichten: Adventsbox (Lingoli),"3,24","1,57",B00S5R2WPQ,Kosmos 698751 - Magic Adventskalender 2015,"3,2","1,24"
Amazon.de,fallout 4,"99,98",B00YSOD3RG,Fallout 4 Uncut - [PlayStation 4],"38,4","6,59",B00YSOCTQW,Fallout 4 Uncut [AT-PEGI] - [PC],"19,6","13,27",B00YSOCGCO,Fallout 4 Uncut - [PC],"8,66","4,31"
Amazon.de,fire tv stick,"99,98",B00KAKPZYG,Fire TV Stick,"72,41","6,11",B010EGFSSS,Neu - Fire TV Stick mit Sprachfernbedienung,"14,96","6,08",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"8,05","11,5"
Amazon.de,iphone 6 hülle,"99,98",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"33,57","10,62",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"22,04","5,87",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"20,21","4,89"
Amazon.de,lg g4 hülle,"99,98",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"24,48","10,92",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,81","7,95",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"9,9","3,09"
Amazon.de,minions,"99,98",B01076V78K,Minions,"34,65","4,69",B01076V6T0,Minions [Blu-ray],"10,34","2,66",B01076V70I,Minions Box-Set [3 DVDs],"3,17","2,05"
Amazon.de,tiptoi,"99,98",B00V8K81AM,Ravensburger 00507 - tiptoi - Starterset mit Stift und Buch - Wieso? Weshalb? Warum? Entdecke den Bauernhof,"8,91","1,2",B00V8KFAHY,Ravensburger 00700 - tiptoi - Stift mit Player,"7,33","1,46",3473435147,tiptoi® Bilderbuch: tiptoi® Meine schönsten Kinderlieder,"6,23","2,73"
Amazon.de,adventskalender männer,"99,97",B00F95UZS8,"Intersnack Snack Adventskalender, 1er Pack (1 x 685 g)","9,35","2,31",B00Y8PXD6G,"Wera Werkzeug-Adventskalender 2015, 05135996001","7,79","1,99",3789397660,Survival - Der Männer-Advents-Kalender,"7,44","9,03"
Amazon.de,eiskönigin,"99,97",B00SMD9M6U,,"7,38",0,B00GSQLGCQ,Die Eiskönigin - Völlig Unverfroren,"5,69","1,88",B00I5PUC00,"Mattel Disney Princess BDK37 - Die Eiskönigin Königlichen Schwestern, 2 Puppen im Set","4,2","1,88"
Amazon.de,fire tv,"99,97",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"49,16","40,8",B00KAKPZYG,Fire TV Stick,"28,4","0,53",B00KQEG1GC,"Amazon Fire TV, Zertifiziert und generalüberholt","8,68","31,55"
Amazon.de,helene fischer weihnachten,"99,97",B0167P9XCM,"Weihnachten (2CD, mit dem Royal Philharmonic Orchestra)","87,07","14,52",B0167P9X22,"Weihnachten - Live aus der Hofburg Wien (DVD, mit dem Royal Philharmonic Orchestra)","4,14","11,5",B0167P9SFY,"Weihnachten (Deluxe Edt  2CD + DVD, mit dem Royal Philharmonic Orchestra)","2,88","6,78"
Amazon.de,huawei p8 lite hülle,"99,97",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"29,79","19,87",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"29,1","10,05",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"27,86","9,28"
Amazon.de,star wars,"99,97",B011T11T8A,Star Wars - Complete Saga [Blu-ray],"20,85","3,73",B015HD3OXO,Star Wars Battlefront - Steelbook Edition (exklusiv bei Amazon.de) - [PlayStation 4],"13,57","0,32",B00E9NC0HA,"Star Wars - Trilogie, Episode IV-VI [3 DVDs]","4,36","1,85"
Amazon.de,wetterstation,"99,97",B001HJ5DLE,"TFA Dostmann Funkwetterstation Spectro 35.1089, silber","7,84","3,47",B00NB04OJ4,ADE WS 1403 Funk-Wetterstation,"6,62","4,83",B00LGIFEE2,"Bresser Funkwetterstation Temeo Trend LG, schwarz (Version 2)","6,61",3
Amazon.de,( Leer ),"99,96",B00TEIKZ90,AmazonBasics Sportarmband für iPhone 6 und Samsung Galaxy S6,"0,6","0,17",B014FCWMTU,mumbi Schutzhülle iPhone 6 (4.7 Zoll) Hülle,"0,37",0,B013AUW9IM,"Nivea Men Energy Pflegedusche, 250 ml","0,32","0,05"
Amazon.de,elektrische zahnbürste,"99,96",B003RRY446,Oral-B Vitality Precision Clean elektrische Zahnbürste (mit Timer),"17,07","9,06",B003VWDC3G,Oral-B Pulsonic Slim elektrische Zahnbürste (1 Handstück),"12,46","0,53",B00KBWBPRY,"Oral-B PRO 600 Cross Action elektrische Zahnbürste, Modell 2014","11,2","7,2"
Amazon.de,helene fischer,"99,96",B0167P9XCM,"Weihnachten (2CD, mit dem Royal Philharmonic Orchestra)","75,64","3,49",B00ED4BROW,Farbenspiel,"3,78","5,23",B013FBLX2Y,Farbenspiel Live - Die Stadion-Tournee (2 CD),"3,05","6,13"
Amazon.de,kindle paperwhite,"99,96",B00QJDO0QC,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","49,4","5,38",B00JG8GBDM,"Kindle Paperwhite (6. Generation), 15 cm (6 Zoll) hochauflösendes Display (212 ppi) mit integrierter Beleuchtung, WLAN","26,04","26,82",B00QJDU3KY,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN","9,15","2,95"
Amazon.de,küchenmaschine,"99,96",B00BK3U36W,"Bosch MUM56S40 Küchenmaschine Styline MUM5 (900 Watt, 3.9 Liter) silber","20,74","2,71",B00387EZ8A,"Bosch MUM4655EU Küchenmaschine MUM4 (550 Watt, 3.9 Liter) weiß","10,93","5,85",B00008K5XU,"Bosch MUM4405 Küchenmaschine MUM4 (500 Watt, 3.9 Liter) weiß","7,31","4,26"
Amazon.de,need for speed,"99,96",B00Y2JXATI,Need for Speed - [PlayStation 4],"73,91","14,42",B00YPOXD56,Need for Speed [AT Pegi] - [PC],"6,81","22,12",B00Y2JWKV2,Need for Speed - [Xbox One],"5,87","9,68"
Amazon.de,ps4,"99,96",B00BIYAO3K,PlayStation 4 - Konsole (500GB),"29,02","18,86",B014J9R80M,PlayStation 4 - Konsole Ultimate Player 1TB Edition [CUH-1216B],"11,66","8,41",B016ACQCLW,PlayStation 4 - Konsole (1TB) Limited Edition Call of Duty: Black Ops III [CUH-1216A],"9,34","8,31"
Amazon.de,adventskalender frauen,"99,95",3843606609,Atempausen im Advent - Der Adventskalender für Mütter 2015,"10,72","11,8",B00NHTAGD2,"BriConti Adventskalender Satin dunkelblau, 1er Pack (1 x 24 Stück)","9,09","3,35",B00J3I6CPC,"Smart Jewel Schmuck-Adventskalender ""Frohe Weihnachten"" 889005312","7,22","1,25"
Amazon.de,black ops 3,"99,95",B00VWXX4KW,Call of Duty: Black Ops 3 - Day One Edition - [PlayStation 4],"59,8","28,08",B011C1AXDO,Call of Duty: Black Ops III - Hardened Edition - [PlayStation 4],"8,01","4,2",B011IWZ63E,Call of Duty: Black Ops III - Standard inkl. Steelbook (exklusiv bei Amazon.de) - [PlayStation 4],"6,25","7,41"
Amazon.de,fallout,"99,95",B00YSOD3RG,Fallout 4 Uncut - [PlayStation 4],"37,33","2,73",B00YSOCGCO,Fallout 4 Uncut - [PC],"9,79","1,87",B00ZR4U2B6,Fallout 4 Uncut - Pip-Boy Edition - [PlayStation 4],"6,66","1,17"
Amazon.de,iphone 5s hülle,"99,95",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone 5S 5 Hülle in schwarz,"22,93","10,64",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone 5 5S Hülle transparent schwarz,"21,05","9,04",B00PHV9XBO,mumbi TPU Silikon Schutzhülle iPhone 5 5S Hülle weiß transparent,"20,31","6,93"
Amazon.de,tastatur,"99,95",B00F35N0VI,CHERRY KC1000 corded Keyboard USB ultraflat black,"16,97","14,61",B00N3OCV7U,"Sharkoon Skiller Pro beleuchtete Gaming Tastatur (9 Multimedia-, 6 Makro- und 3 Profil-Tasten, Software, USB) schwarz","14,97","4,49",B00E6KGKXG,"LOGITECH K280e corded Keyboard USB black for Business, QWERTZ,  deutsches Layout","11,64","8,3"
Amazon.de,tip toi,"99,95",B00385X3PI,Ravensburger 00502 - tiptoi: Starter-Set mit Stift und Buch,"7,71","0,84",3473435147,tiptoi® Bilderbuch: tiptoi® Meine schönsten Kinderlieder,"6,82","3,06",B00V8KFAHY,Ravensburger 00700 - tiptoi - Stift mit Player,"5,18","1,03"
Amazon.de,violetta,"99,95",B00GWSSDM6,Giochi Preziosi 70051801 - Disney VIOLETTA Tagebuch,"8,02","1,89",B00J3FKBUW,Violetta - Der Original-Soundtrack zur TV-Serie,"5,5","2,55",1474811132,Disney Violetta Mein Tagebuch 2: Ein Jahr später,"4,47","1,73"
Amazon.de,weihnachtskalender,"99,95",B000XY8QQI,"Sheepworld Adventskalender ""Ohne Dich ist Weihnachten doof"", 1er Pack (1 x 75 g)","3,92","4,2",B00J3I6CPC,"Smart Jewel Schmuck-Adventskalender ""Frohe Weihnachten"" 889005312","3,2","0,38",B0094FQZOC,"Kinder Maxi Mix Adventskalender, 1er Pack (1 x 351 g)","3,07","1,24"
Amazon.de,winterjacke herren,"99,95",B016CTOYN6,,"7,47",0,B00L7GDJWW,Jack Wolfskin Herren 3-in-1 Jacke Iceland Jacket,"6,31",0,B00QJMXNL6,,"5,67",0
Amazon.de,adventskalender zum befüllen,"99,94",B00H79KCPU,24 Geschenktüten - Weihnachten naht!,"12,58","4,94",B00FDMUK96,,"8,35","8,45",B00R3I64A2,24 Adventshäuschen: Zum Falten und Befüllen,"5,86","1,45"
Amazon.de,bravo hits 2015,"99,94",B0160M7BN0,Bravo The Hits 2015,"76,87","37,51",B013HC8LZS,Bravo Hits Vol.91,"10,85","7,07",B014I67SEC,Best Of 2015 - Die Hits des Jahres,"3,66","2,54"
Amazon.de,gopro,"99,94",B00O32GU6O,GoPro Actionkamera HERO,"30,71","14,06",B00O32GGTK,GoPro Actionkamera HERO4 Black Adventure 4k,"21,43","3,87",B00O32GPKK,GoPro Actionkamera HERO4 Silver Adventure,"16,6","4,8"
Amazon.de,headset,"99,94",B00OTOJEDM,Sharkoon Rush ER1 Gaming Headset weiß,"30,3","12,26",B00CJ5FPUE,Logitech G430 Gaming Headset für PC und PS4 blau,"9,91","0,55",B005HWEYN0,Sennheiser PC 3 Chat Headset,"8,12","10,09"
Amazon.de,helene fischer weihnachts cd,"99,94",B0167P9XCM,"Weihnachten (2CD, mit dem Royal Philharmonic Orchestra)","94,82","48,22",B000W04LGC,Von hier bis unendlich - Weihnachts-Special-Edition,"3,48","15,56",B0167P9UWK,"Weihnachten - Live aus der Hofburg Wien (Blu-Ray, mit dem Royal Philharmonic Orchestra)","0,32",0
Amazon.de,iphone 6,"99,94",B00NGOCJ74,"Apple iPhone 6 Smartphone (4,7 Zoll (11,9 cm) Touch-Display, 16 GB Speicher, iOS 8) grau","39,63","16,56",B00NGOCUFK,"Apple iPhone 6 Smartphone (4,7 Zoll (11,9 cm) Touch-Display, 16 GB Speicher, iOS 8) gold","23,92","18,42",B00NGOCZ3C,"Apple iPhone 6 Smartphone (4,7 Zoll (11,9 cm) Touch-Display, 64 GB Speicher, iOS 8) grau","15,08","24,39"
Amazon.de,kopfhörer,"99,94",B0007XJSQC,Sennheiser HD 201 Kopfhörer,"13,55","5,88",B003V9M0VY,SENNHEISER MX 170 In-Ear Ohrhoerer schwarz,"9,89","8,31",B00NBR70DO,"Sony MDR-ZX110 faltbarer Bügelkopfhörer, schwarz","9,13","1,86"
Amazon.de,minecraft,"99,94",B011EV771I,,"8,59",0,350513743X,"Minecraft, Das Konstruktions-Handbuch - Updated Edition: Bauen mit Blöcken","8,1","3,62",B00JWG929I,Minecraft Playstation 3 Edition,"6,45","4,14"
Amazon.de,nähmaschine,"99,94",B0042WOX50,W6 Nähmaschine N 1615 Freiarm Super Nutzstich-Nähmaschine - 10 Jahre Garantie,"26,93","1,54",B001CBZB5K,Singer 2250 Tradition Nähmaschine,"23,04","9,64",B005DYM42A,W6 Nähmaschine N 1235/61 Freiarm Super Nutzstich-Nähmaschine mit 10 Jahren Garantie,"9,38","1,09"
