Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,kindle,"99,99",B00QJDO0QC,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","41,66","5,22",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","17,92","6,42",B00ZDWLEEG,"Fire, 17,7 cm (7 Zoll) Display, WLAN, 8 GB - mit Spezialangeboten","10,45","0,69"
Amazon.de,star wars,"99,99",B011T11T8A,Star Wars - Complete Saga [Blu-ray],"29,05","1,99",B00E9NC0HA,"Star Wars - Trilogie, Episode IV-VI [3 DVDs]","6,56","1,06",B00E9NC0OS,"Star Wars - Trilogie: Der Anfang, Episode I-III [3 DVDs]","5,05","1,24"
Amazon.de,tablet,"99,99",B00ZDWLEEG,"Fire, 17,7 cm (7 Zoll) Display, WLAN, 8 GB - mit Spezialangeboten","38,28","2,81",B00JXALVGK,"Logitech UltraThin Folio für Samsung Galaxy Tab 4 25,7 cm (10,1 Zoll) (QWERTZ, deutsches Tastaturlayout) schwarz","15,24","24,94",B00J4IC1RO,"Lenovo A10-70 25,7 cm (10,1 Zoll HD-IPS) Tablet (ARM MTK 8121 QC, 1,3GHz, 1GB RAM, 16GB eMMC, GPS, Android 4.2) midnight blau","7,2","3,77"
Amazon.de,fire tv stick,"99,98",B00KAKPZYG,Fire TV Stick,"75,68","9,17",B010EGFSSS,Neu - Fire TV Stick mit Sprachfernbedienung,"13,02","6,32",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"6,91","2,34"
Amazon.de,iphone 5s hülle,"99,98",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone 5S 5 Hülle in schwarz,"23,52","7,9",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone 5 5S Hülle transparent schwarz,"23,04","9,55",B00PHV9XBO,mumbi TPU Silikon Schutzhülle iPhone 5 5S Hülle weiß transparent,"21,74","3,94"
Amazon.de,iphone 6 hülle,"99,98",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"34,54","3,5",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"22,22","5,73",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"20,27","3,67"
Amazon.de,minions,"99,98",B01076V78K,Minions,"25,33","4,33",B01076V6T0,Minions [Blu-ray],"5,06","1,61",B01076V70I,Minions Box-Set [3 DVDs],"4,88","2,84"
Amazon.de,tiptoi,"99,98",B00V8K81AM,"Ravensburger 00507 - tiptoi Starter-Set mit Stift und Buch Wieso? Weshalb? Warum? Entdecke den Bauernhof""","11,21","5,89",3473435147,tiptoi® Bilderbuch: tiptoi® Meine schönsten Kinderlieder,"6,68","2,92",B00V8KFAHY,Ravensburger 00700 - tiptoi Stift mit Player,"5,02","2,73"
Amazon.de,adele,"99,97",B00L98V4UW,25,"83,03","8,22",B004AB2JVI,21,"7,71","3,93",B000XGDO04,19,"4,49","3,75"
Amazon.de,eiskönigin,"99,97",B00GSQLGCQ,Die Eiskönigin - Völlig Unverfroren,"8,76","2,66",B00MGPUQR4,"Philips Disney Frozen LED Projektor Tischleuchte, hellblau 717690816","4,02","3,04",1474835325,Disney - Die Eiskönigin - Party-Fieber - Buch mit DVD,"3,73",3
Amazon.de,fire tv,"99,97",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"41,77","19,84",B00KAKPZYG,Fire TV Stick,"35,63","2,21",B00KQEG1GC,"Amazon Fire TV, Zertifiziert und generalüberholt","8,01","33,68"
Amazon.de,fitbit,"99,97",B00SV21RVU,Fitbit Aktivitätstracker Charge HR,"42,38",0,B00CIV6990,"Fitbit Fitness-Tracker Flex Wireless, schwarz, 76969","13,6","19,43",B00P9P6ZDW,"Fitbit Fitness Super Watch Fitbit SURGE, Schwarz, L, FB501BKL-EU","11,97","10,96"
Amazon.de,huawei p8 lite hülle,"99,97",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"25,52","10,58",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"24,56","10,71",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"23,14","10,92"
Amazon.de,kindle paperwhite,"99,97",B00QJDO0QC,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","60,34","11,54",B00QJDU3KY,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN","11,88","5,47",B00JG8GBDM,"Kindle Paperwhite (6. Generation), 15 cm (6 Zoll) hochauflösendes Display (212 ppi) mit integrierter Beleuchtung, WLAN","10,66","3,15"
Amazon.de,lg g4 hülle,"99,97",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,52","15,03",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"22,89","5,87",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,54","6,16"
Amazon.de,wetterstation,"99,97",B001HJ5DLE,"TFA Dostmann Funkwetterstation Spectro 35.1089, silber","13,38","4,35",B00LGIFEE2,"Bresser Funkwetterstation Temeo Trend LG, schwarz (Version 2)","4,82","1,5",B00BN5I8XM,"Technoline Premium WetterDirektStation WD 4026, schwarz-silber, 2-teilig bestehend aus Station und Sensor","4,65","2,78"
Amazon.de,elektrische zahnbürste,"99,96",B003RRY446,Oral-B Vitality Precision Clean elektrische Zahnbürste (mit Timer),"19,66","9,66",B00KBWBPRY,"Oral-B PRO 600 Cross Action elektrische Zahnbürste, Modell 2014","13,57","7,18",B003VWDC3G,Oral-B Pulsonic Slim elektrische Zahnbürste (1 Handstück),"9,68","1,83"
Amazon.de,helene fischer,"99,96",B0167P9XCM,"Weihnachten (2CD, mit dem Royal Philharmonic Orchestra)","53,14","1,99",B00ED4BROW,Farbenspiel,"12,37","7,64",B003IIS4U4,Best Of,"6,41","5,55"
Amazon.de,helene fischer weihnachten,"99,96",B0167P9XCM,"Weihnachten (2CD, mit dem Royal Philharmonic Orchestra)","84,42","14,2",B0167P9X22,"Helene Fischer - Weihnachten - Live aus der Hofburg Wien (DVD, mit dem Royal Philharmonic Orchestra)","8,47","11,66",B000W04LGC,Von hier bis unendlich - Weihnachts-Special-Edition,"2,16","4,65"
Amazon.de,iphone 6,"99,96",B00NGOCJ74,"Apple iPhone 6 Smartphone (4,7 Zoll (11,9 cm) Touch-Display, 16 GB Speicher, iOS 8) grau","42,19","22,47",B00NGOCUFK,"Apple iPhone 6 Smartphone (4,7 Zoll (11,9 cm) Touch-Display, 16 GB Speicher, iOS 8) gold","22,64","19,56",B00NGOCP64,"Apple iPhone 6 Smartphone (4,7 Zoll (11,9 cm) Touch-Display, 16 GB Speicher, iOS 8) silber","12,55","9,64"
Amazon.de,kopfhörer,"99,96",B0007XJSQC,Sennheiser HD 201 Kopfhörer,"18,31","7,46",B003V9M0VY,SENNHEISER MX 170 In-Ear Ohrhoerer schwarz,"7,9","6,18",B00AFA9WX6,Teufel Aureol Real offener Over-Ear-Kopfhörer Schwarz,"6,68","0,74"
Amazon.de,spiegel bestsellerliste 2015,"99,96",3492307256,Honigtot: Roman,"13,9","3,07",1477849327,Ich bleibe hier,"7,49","2,52",3596196353,Morgen kommt ein neuer Himmel: Roman,"6,1","1,69"
Amazon.de,tastatur,"99,96",B00F35N0VI,CHERRY KC1000 corded Keyboard USB ultraflat black,"17,46","13,26",B00N3OCV7U,"Sharkoon Skiller Pro beleuchtete Gaming Tastatur (9 Multimedia-, 6 Makro- und 3 Profil-Tasten, Software, USB) schwarz","16,66","3,09",B00E6KGKXG,"LOGITECH K280e corded Keyboard USB black for Business, QWERTZ,  deutsches Layout","10,47","8,21"
Amazon.de,the man in the high castle,"99,96",B0197CDJU4,,"63,96",0,B00RWYTQM0,,"14,45",0,0141186674,The Man in the High Castle (Penguin Modern Classics),"7,33","86,12"
Amazon.de,adele 25,"99,95",B00L98V4UW,25,"94,34","26,43",B004AB2JVI,21,"1,55","1,44",B000XGDO04,19,"1,27","1,64"
Amazon.de,familienplaner 2016,"99,95",3840762073,Familienplaner 2016 - Bildkalender (24 x 34) - mit Ferienterminen - 6 Spalten,"7,08","4,38",3840134986,Helme Heine Familienplaner 2016,"5,34","2,96",B00R1QP7XQ,"Glücksmomente 2016 - Familienplaner - 19,5 x 45 cm","5,33","2,62"
Amazon.de,gopro,"99,95",B00O32GU6O,"GoPro CHDHA-301 HERO Actionkamera (5 megapixels, 71,3 mm x 67,1 mm x 39,0 mm) silber","29,49","13,16",B00O32GGTK,"GoPro CHDHX-401 HERO4 Black Adventure Actionkamera (12 megapixels, 41,0 mm x 59,0 mm x 29,6 mm) schwarz","23,4","5,52",B00O32GPKK,"GoPro CHDHY-401 HERO4 Silver Adventure Actionkamera (12 megapixels, 41,0 mm x 59,0 mm x 29,6 mm) silber","14,29","5,86"
Amazon.de,kalender 2016,"99,95",3848513099,"Mein Jahr 2016: Terminplaner mit Einstecktasche, Leseband, Gummibandverschluss, 12 Postkarten und 2-seitigem Wochenkalendarium","7,32","2,83",3840769019,Buchkalender Balacron schwarz 2016 - Bürokalender A5 / Cheftimer A5 - 1 Tag 1 Seite - 320 Seiten,"5,92","2,69",384851317X,"2016 SEI abenteuerlustig authentisch einfach du glücklich kreativ lebensfroh mutig optimistisch...: Terminplaner mit Einstecktasche, Leseband, ... Postkarten und 2-seitigem Wochenkalendarium","5,76","2,49"
Amazon.de,küchenmaschine,"99,95",B00BK3U36W,"Bosch MUM56S40 Küchenmaschine Styline MUM5 (900 Watt, 3.9 Liter) silber","18,15","3,24",B00387EZ8A,"Bosch MUM4655EU Küchenmaschine MUM4 (550 Watt, 3.9 Liter) weiß","15,82","6,56",B00008K5XU,"Bosch MUM4405 Küchenmaschine MUM4 (500 Watt, 3.9 Liter) weiß","5,6","3,3"
Amazon.de,lego ninjago,"99,95",B00SDTW350,Lego 70733 - Ninjago Cole's Donner-Bike,"13,03","1,17",B00SDTVWGG,Lego 70738 - Ninjago letzte Flug des Ninja-Flugseglers,"10,21","1,88",B00SDTVZAY,Lego 70736 - Ninjago Angriff des Morro-Drachens,"10,17","1,13"
Amazon.de,minecraft,"99,95",350513743X,"Minecraft, Das Konstruktions-Handbuch - Updated Edition: Bauen mit Blöcken",10,"3,48",B011EV771I,,"9,94",0,3738612335,Das Minecraft Witze Buch: inoffizielles Minecraft Buch,"4,58","1,49"
Amazon.de,plattenspieler,"99,95",B00402JUBE,"Dual DT 210 USB Schallplattenspieler (USB-Anschluss, 33/45 U/min) schwarz","15,03","4,84",B0076Z72RQ,"Dual DTJ 301.1 USB DJ-Plattenspieler (33/45 U/min, Pitch-Control, Magnet-Tonabnehmer-System, Nadelbeleuchtung, USB Kabel) schwarz","10,97","2,77",B00005NDMR,"Pioneer PL 990 Plattenspieler (Vollautomat, 33/45 U/min, Präzisionsantrieb, Universaltonabnehmer-Aufnahme, integrierter Phono-Entzerrervorverstärker) schwarz","6,04","3,03"
Amazon.de,rauchmelder,"99,95",B007IGQ5SK,"Ei Electronics Ei 650 10-Jahres-Rauchwarnmelder (mit fest verbauter 3V-Lithium-Batterie, 10 Jahre Produktlebensdauer) weiß, 1 Stück","27,53","2,16",B00CIREEJQ,"Jeising 5er Set Rauchmelder/ Brandmelder GS506, 10 Jahres Batterie VdS zertifiziert EN14604 inkl. 5 x Magnetbefestigung Magnetopad","14,92","7,49",B00ZP7L0WA,"Smartwares TÜV Rauchmelder, 4-er Set, DIN EN 14604, reinweiß, RM149/4","12,84","4,05"
Amazon.de,taschenkalender 2016,"99,95",3840768403,Ladytimer Flower Love 2016 - Taschenplaner / Taschenkalender A6 - Weekly - 192 Seiten,"5,41","3,69",384851317X,"2016 SEI abenteuerlustig authentisch einfach du glücklich kreativ lebensfroh mutig optimistisch...: Terminplaner mit Einstecktasche, Leseband, ... Postkarten und 2-seitigem Wochenkalendarium","3,75","2,36",3840768349,Ladytimer Blowballs 2016 - Taschenplaner / Taschenkalender A6 - Weekly - 192 Seiten,"3,32","1,88"
Amazon.de,amazon fire stick,"99,94",B00KAKPZYG,Fire TV Stick,"73,5","2,64",B010EGFSSS,Neu - Fire TV Stick mit Sprachfernbedienung,"13,09","2,03",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"8,06","0,66"
Amazon.de,blackroll,"99,94",B004E2TDHQ,Blackroll Orange (Das Original) Selbstmassagerolle inkl. Übungs-DVD und Übungs-Poster,"39,22","4,92",B003BP5AGA,"Blackroll Selbstmassagerolle, Schwarz, BRSTABKBOXC","20,39","13,69",B007NLTXUC,Blackroll Orange (Das Original) Selbstmassagerolle Starter- Set inkl. Übungs-DVD und Übungsposter,"7,18","4,31"
Amazon.de,coldplay,"99,94",B017IS0HY0,A Head Full Of Dreams,"80,96","13,65",B00IQE4NUK,Ghost Stories,"5,2","10,13",B009TO99TG,4 CD Catalogue Set,"2,97","11,8"
Amazon.de,headset,"99,94",B00OTOJEDM,Sharkoon Rush ER1 Gaming Headset weiß,"24,09","12,23",B00CJ5FPUE,Logitech G430 Gaming Headset für PC und PS4 blau,"18,29","1,5",B005HWEYN0,Sennheiser PC 3 Chat Headset,"8,13","12,58"
Amazon.de,violetta,"99,94",B00GWSSDM6,Giochi Preziosi 70051801 - Disney VIOLETTA Tagebuch,"8,7","2,83",B00J3FKBUW,Violetta - Der Original-Soundtrack zur TV-Serie,"7,34","3,77",B00KGLR542,Violetta - Live in Concert (OmU),"4,78","3,07"
