Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,mein kampf,"99,99",3981405234,"Hitler, Mein Kampf: Eine kritische Edition","50,94",0,3471665536,Adolf Hitlers Mein Kampf,"34,2","3,74",3455503950,"Hitlers ""Mein Kampf"": Geschichte eines Buches","3,45",0
Amazon.de,sony xperia z5 hülle,"99,99",B016QC8APM,mumbi Schutzhülle Sony Xperia Z5 Hülle transparent weiss (Ultra Slim - 0.55 mm),"98,7","21,91",B014UVDNGM,mumbi Tasche im Bookstyle für Sony Xperia Z5 Tasche,"0,38","16,36",B014UVDH2M,mumbi Schutzhülle Sony Xperia Z5 Hülle,"0,27","10,31"
Amazon.de,david bowie,"99,98",B017VORJK6,Blackstar,"42,23","2,26",B00NES1DVA,Nothing Has Changed (the Best of David Bowie),"15,15","2,28",B00NES1D6A,Nothing Has Changed (the Best of David Bowie),"6,46","3,71"
Amazon.de,fire tv stick,"99,98",B00KAKPZYG,Fire TV Stick,"69,87","31,58",B010EGFSSS,Neu - Fire TV Stick mit Sprachfernbedienung,"17,26","27,72",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"7,56","2,49"
Amazon.de,iphone 5s hülle,"99,98",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone 5 5S Hülle transparent schwarz,"24,42","15,18",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone 5 5S Schutzhülle (harte Rückseite) schwarz,"23,03","8,01",B00PHV9XBO,mumbi TPU Silikon Schutzhülle iPhone 5 5S Hülle weiß transparent,"22,81","4,92"
Amazon.de,iphone 6 hülle,"99,98",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"36,49","14,59",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"25,35","7,56",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"21,64","7,13"
Amazon.de,kindle,"99,98",B00QJDO0QC,"Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","37,49","11,39",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","21,72","14,78",B00ZDWLEEG,"Fire, 17,7 cm (7 Zoll) Display, WLAN, 8 GB - mit Spezialangeboten","12,37","1,03"
Amazon.de,lg g4 hülle,"99,98",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,6","16,57",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,04","8,39",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,62","3,08"
Amazon.de,huawei p8 lite hülle,"99,97",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"23,97","14,61",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"23,04","10,33",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"22,6","14,27"
Amazon.de,pfefferspay,"99,97",B003TSCFVM,,"22,49",0,B000NP2DZ2,,"11,69",0,B000UAFZU0,Pfefferspray KO-FOG 40ML,8,"41,21"
