Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 5s hülle,"99,99",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"33,35","9,85",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz,"21,5","9,18",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,"21,23","8,16"
Amazon.de,sony xperia z5 hülle,"99,99",B016QC8APM,mumbi Schutzhülle Sony Xperia Z5 Hülle transparent weiss (Ultra Slim - 0.55 mm),"99,23","11,26",B014UVDH2M,mumbi Schutzhülle Sony Xperia Z5 Hülle,"0,28","8,76",B014UVDNGM,mumbi Tasche im Bookstyle für Sony Xperia Z5 Tasche,"0,25","33,79"
Amazon.de,iphone 6 hülle,"99,98",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"36,03","8,74",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"24,77","4,41",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"20,97","2,58"
Amazon.de,lg g4 hülle,"99,98",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,35","12,71",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"22,4","3,75",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,34","1,69"
Amazon.de,huawei p8 lite hülle,"99,97",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,24,"14,26",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"22,72","12,13",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"22,66","10,82"
Amazon.de,kindle,"99,97",B00QJDO0QC,"Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","44,08","1,71",B00ZDWLEEG,"Fire, 17,7 cm (7 Zoll) Display, WLAN, 8 GB - mit Spezialangeboten","12,95","1,9",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","12,23","14,37"
Amazon.de,samsung galaxy j5 hülle,"99,97",B00ZRJ9YRY,mumbi Schutzhülle Samsung Galaxy J5 Hülle transparent weiss,"33,54","15,02",B00ZRJA67G,mumbi Schutzhülle Samsung Galaxy J5 Hülle transparent schwarz,"33,47","10,12",B00ZRJAH6Q,mumbi Schutzhülle Samsung Galaxy J5 Hülle,"31,31","21,51"
Amazon.de,samsung galaxy s6 hülle,"99,97",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"45,5","9,88",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"44,43","12,79",B00QU4Q31A,"Spigen ® Schutzhülle Samsung Galaxy S6 Hülle NEO HYBRID [Metallisierte Tasten] - Tasche  Samsung Galaxy S6/ SVI, BUMPER STYLE Schutzhülle - satinsilber [Satin Silver - SGP11320]","1,23","6,46"
Amazon.de,lightning kabel,"99,96",B010NV8EIU,"mumbi Lightning zu USB Kabel [Apple MFi zertifiziert] 1m für iPhone 6 Plus 6s Plus 5S 5C 5, iPad Air 2, Mini 3, iPod touch (ab 5.Gen), iPod Nano (ab 7.Gen) in weiss","89,75","17,41",B010S9M3L6,"AmazonBasics Verbindungskabel Lightning auf USB, 0,9 m, zertifiziert von Apple, Weiß","6,55","17,61",B010S9N6OO,"AmazonBasics Verbindungskabel Lightning auf USB, 1,8 m, zertifiziert von Apple, Weiß","1,22","6,8"
Amazon.de,samsung galaxy s7,"99,96",B01BTZFM0W,"Samsung Galaxy S7 Smartphone (5,1 Zoll (12,9 cm) Touch-Display, 32GB interner Speicher, Android OS) schwarz","50,78","25,01",B01BTZFSTC,"Samsung Galaxy S7 EDGE Smartphone (5,5 Zoll (13,9 cm) Touch-Display, 32GB interner Speicher, Android OS) schwarz","13,96","4,2",B01BTZFQX0,"Samsung Galaxy S7 Smartphone (5,1 Zoll (12,9 cm) Touch-Display, 32GB interner Speicher, Android OS) gold","11,1","15,62"
