Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 5s hülle,"99,99",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"39,34",6,B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,"24,68","10,41",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz,"23,98","7,42"
Amazon.de,sony xperia z5 hülle,"99,99",B016QC8APM,mumbi Schutzhülle Sony Xperia Z5 Hülle transparent weiss (Ultra Slim - 0.55 mm),"99,44","19,71",B014UVDNGM,mumbi Tasche im Bookstyle für Sony Xperia Z5 Tasche,"0,18","21,2",B014UVDH2M,mumbi Schutzhülle Sony Xperia Z5 Hülle,"0,17","17,79"
Amazon.de,samsung galaxy s6 hülle,"99,98",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"49,82","12,95",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"45,37","7,56",B00W3T0PAQ,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle,"0,65","4,05"
Amazon.de,huawei p8 lite hülle,"99,97",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"23,88","15,46",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"22,41","4,77",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"22,21","12,99"
Amazon.de,iphone 6 hülle,"99,97",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"36,16","13,66",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"26,05","1,61",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"22,53","8,3"
Amazon.de,lg g4 hülle,"99,97",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,63","12,71",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"22,63","6,35",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,37","8,74"
Amazon.de,star wars,"99,97",B019FA3JVW,Star Wars: Das Erwachen der Macht (inkl. Bonusdisc) [Blu-ray],"74,14","2,6",B019FA3CXW,Star Wars: Das Erwachen der Macht,"5,63","0,86",B011T11T8A,Star Wars: The Complete Saga [9 Blu-rays],"5,47","2,8"
Amazon.de,adidas superstar,"99,96",B00UCYWY1C,adidas Originals Superstar Unisex-Kinder Sneakers,"16,37",0,B0123RCI5C,adidas Superstar Foundation Herren Sneakers,"9,41",0,B00SWI4FZ8,adidas Originals Superstar Herren Sneakers,"6,72",0
Amazon.de,kindle,"99,96",B00QJDO0QC,"Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","33,35","4,72",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","15,21","13,58",B010EK1GOE,"Der neue Kindle Oasis mit Ladehülle aus Leder in Schwarz, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung und WLAN","12,82","1,04"
Amazon.de,samsung galaxy j5 hülle,"99,96",B00ZRJAH6Q,mumbi Schutzhülle Samsung Galaxy J5 Hülle,"32,86","15,71",B00ZRJ9YRY,mumbi Schutzhülle Samsung Galaxy J5 Hülle transparent weiss,"32,12","6,59",B00ZRJA67G,mumbi Schutzhülle Samsung Galaxy J5 Hülle transparent schwarz,"31,88","4,56"
