Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 5s hülle,"99,99",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"35,92","8,22",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz,"20,57","8,3",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,"20,38","7,29"
Amazon.de,sony xperia z5 hülle,"99,99",B016QC8APM,mumbi Schutzhülle Sony Xperia Z5 Hülle transparent weiss (Ultra Slim - 0.55 mm),"99,39","13,92",B014UVDH2M,mumbi Schutzhülle Sony Xperia Z5 Hülle,"0,19","13,05",B014UVDNGM,mumbi Tasche im Bookstyle für Sony Xperia Z5 Tasche,"0,15","21,68"
Amazon.de,iphone se hülle,"99,97",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"64,02","6,62",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"31,12","17,44",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,"0,91","7,68"
Amazon.de,samsung galaxy s6 hülle,"99,97",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"48,02","12,54",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"46,19","4,78",B00T5XVVBA,mumbi Tasche im Bookstyle für Samsung Galaxy S6 / S6 Duos Tasche,"0,72","10,95"
Amazon.de,fear the walking dead,"99,96",B01DW8Z88A,,"69,96",0,B01DW8ZAI8,,"28,08",0,B0158K1BIG,Fear the Walking Dead - Die komplette erste Staffel [Blu-ray],"1,02","20,52"
Amazon.de,iphone 6 hülle,"99,96",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"40,35","10,9",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"28,28","5,65",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"16,12","8,92"
Amazon.de,lg g4 hülle,"99,96",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,91","15,53",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,17","12,71",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,48","4,77"
Amazon.de,elektrogrill,"99,95",B000P6B8MI,Severin PG 1511 Barbecue-Elektrogrill schwarz,"13,26","7,78",B000FMM7JU,Severin PG 2792 Barbecue-Elektrogrill schwarz,"6,83","3,96",B001KIR63U,"Philips HD4419/20 Tischgrill aus Edelstahl, gerippte & glatte Platte, 2300 Watt, Schwarz","6,34","2,31"
Amazon.de,huawei p8 lite hülle,"99,95",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"24,53","11,23",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"23,17","8,94",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"22,68","8,47"
Amazon.de,kindle,"99,95",B00QJDO0QC,"Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","34,59","12,98",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","16,47","12,52",B010EK1GOE,"Der neue Kindle Oasis mit Ladehülle aus Leder in Schwarz, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung und WLAN","9,9","4,31"
