Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 5s hülle,"99,99",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"26,69","7,83",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz,"24,24","14,32",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,"23,75","11,45"
Amazon.de,lg g4 hülle,"99,97",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,7","14,36",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,25","4,37",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,81","2,91"
Amazon.de,samsung galaxy s6 hülle,"99,97",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"47,21","12,13",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"47,02","7,35",B00QU4N7AK,"Spigen Schutzhülle Samsung Galaxy S6 Hülle LIQUID CRYSTAL [Superleichtgewicht - passgenau] - Tasche Samsung Galaxy S6/ SVI, durchsichtigtes Premium Soft Case - Liquid Crystal [Liquid Crystal - SGP11307]","0,66","6,14"
Amazon.de,kindle,"99,96",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","36,5","5,75",B0186FESVC,"Der neue Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","20,2","10,89",B00IOY524S,"Kindle Voyage eReader, 15,2 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integriertem intelligenten Frontlicht, PagePress-Sensoren, WLAN","7,23","4,28"
Amazon.de,samsung galaxy j5 hülle,"99,96",B00ZRJAH6Q,mumbi Schutzhülle Samsung Galaxy J5 (2015) Hülle,"32,27","20,75",B00ZRJ9YRY,mumbi Schutzhülle Samsung Galaxy J5 (2015) Hülle transparent weiss,"31,57","10,24",B00ZRJA67G,mumbi Schutzhülle Samsung Galaxy J5 (2015) Hülle transparent schwarz,"31,52","9,95"
Amazon.de,harry potter,"99,95",3551559007,Harry Potter: Harry Potter und das verwunschene Kind. Teil eins und zwei (Special Rehearsal Edition Script),"39,86","6,04",0751565350,Harry Potter and the Cursed Child - Parts I & II (Special Rehearsal Edition): The Official Script Book of the Original West End Production,"26,24","3,48",1408856778,Harry Potter: The Complete Collection,"4,42","3,53"
Amazon.de,iphone 6 hülle,"99,94",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"49,12","15,43",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"35,96","8,35",B00JH87ZSQ,"Spigen Schutzhülle für iPhone 6 / 6S [THIN FIT] Hülle - Tasche für iPhone 6 / 6S, Schutzhülle mit Soft Feel Coating in schwarz [Smooth Black - SGP10936]","3,49","10,61"
Amazon.de,iphone se hülle,"99,94",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"46,89","12,98",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"46,82","20,43",B00PHV6C40,mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz,"1,27","10,56"
Amazon.de,lightning kabel,"99,94",B010NV8EIU,"mumbi Lightning zu USB Kabel [Apple MFi zertifiziert] 1m für iPhone 6 Plus 6s Plus 5S 5C 5, iPad Air 2, Mini 3, iPod touch (ab 5.Gen), iPod Nano (ab 7.Gen) in weiss","85,82","30,32",B010S9N6OO,"AmazonBasics Ladekabel Lightning auf USB, 1,8m, zertifiziert von Apple, Weiß","4,83","6,08",B010S9M3L6,"AmazonBasics Ladekabel Lightning auf USB, 0,9m, zertifiziert von Apple, Weiß","4,75","3,37"
Amazon.de,xbox one s,"99,94",B01H0NKK2W,Xbox One S 2TB Konsole,"68,71","23,06",B01KAGPBB6,Xbox One S 500GB Konsole - FIFA 17 Bundle,"9,27","15,76",B01HMT23DI,Xbox One S 2TB Konsole - Gears of War Limited Edition Bundle,"5,54","6,65"
