Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 5s hülle,"99,99",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"27,17","6,76",B00PHV74TW,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz,"22,51","14,82",B00PHV9XBO,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle weiß transparent,"20,37","11,71"
Amazon.de,harry potter,"99,97",3551559007,Harry Potter: Harry Potter und das verwunschene Kind. Teil eins und zwei (Special Rehearsal Edition Script),"69,3","3,12",0751565350,Harry Potter and the Cursed Child - Parts I & II (Special Rehearsal Edition): The Official Script Book of the Original West End Production,"5,43","4,25",3742300296,Das inoffizielle Harry-Potter-Kochbuch: Von Butterbier bis Kürbispasteten - mehr als 150 magische Rezepte zum Nachkochen,"3,26","1,22"
Amazon.de,lg g4 hülle,"99,97",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,54","13,73",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"23,48","12,75",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"10,71","3,43"
Amazon.de,samsung galaxy s6 hülle,"99,97",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"47,09","6,37",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"46,58","12,71",B00T5XVVBA,mumbi Tasche im Bookstyle für Samsung Galaxy S6 / S6 Duos Tasche,"0,84","11,49"
Amazon.de,iphone 7 hülle,"99,96",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"67,4","13,42",B01J1L5P6C,mumbi Schutzhülle für iPhone 7 Hülle,"10,97","6,12",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz,"7,95","9,04"
Amazon.de,iphone se hülle,"99,96",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"46,62","12,77",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"43,93","8,28",B00PHV65HO,mumbi TPU Schutzhülle iPhone SE 5 5S Hülle Tasche,"1,35","9,58"
Amazon.de,kindle,"99,96",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","35,87","9,27",B0186FESVC,"Der neue Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","20,31","10,59",B00IOY524S,"Kindle Voyage eReader, 15,2 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integriertem intelligenten Frontlicht, PagePress-Sensoren, WLAN","6,53","6,41"
Amazon.de,harry potter und das verwunschene kind,"99,95",3551559007,Harry Potter: Harry Potter und das verwunschene Kind. Teil eins und zwei (Special Rehearsal Edition Script),"88,33","21,41",3742300296,Das inoffizielle Harry-Potter-Kochbuch: Von Butterbier bis Kürbispasteten - mehr als 150 magische Rezepte zum Nachkochen,"3,82","7,77",0751565350,Harry Potter and the Cursed Child - Parts I & II (Special Rehearsal Edition): The Official Script Book of the Original West End Production,"2,94","4,27"
Amazon.de,iphone 6 hülle,"99,95",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"46,84","8,93",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"32,13","9,07",B00JH87ZSQ,"Spigen Schutzhülle für iPhone 6 / 6S [THIN FIT] Hülle - Tasche für iPhone 6 / 6S, Schutzhülle mit Soft Feel Coating in schwarz [Smooth Black - SGP10936]","4,11","3,12"
Amazon.de,xbox one s,"99,95",B01KAGPBB6,Xbox One S 500GB Konsole - FIFA 17 Bundle,40,"17,78",B01H0NKK2W,Xbox One S 2TB Konsole mit 4K Blu-ray Player,"27,31","40,12",B01KAGP7LA,Xbox One S 500 GB Konsole - Bundle inkl. FIFA 17,"7,4","6,98"
Amazon.de,lightning kabel,"99,94",B010NV8EIU,"mumbi Lightning zu USB Kabel [Apple MFi zertifiziert] 1m für iPhone 7 Plus 7 6 Plus 6s SE 5S 5C 5, iPad Air 2, Mini 3, iPod touch und nano in weiss","79,38","24,52",B010S9M3L6,"AmazonBasics Ladekabel Lightning auf USB, 0,9m, zertifiziert von Apple, Weiß","9,72","4,41",B010U3XO3Q,"AmazonBasics Ladekabel Lightning auf USB, 0,9m, zertifiziert von Apple, Schwarz","4,2","4,76"
Amazon.de,philips hue,"99,94",B016151IRQ,"Philips Hue LED Lampe 10 W A60 E27 Starter Set inklusive Bridge, EEK A, 3-er Set, dimmbar, 16 Mio Farben, app-gesteuert 8718696461693","17,97","0,92",B01L99H7YC,"Philips Hue LED Deckenleuchte Being inkl. Dimmschalter, alle Weißschattierungen, steuerbar auch via App, aluminium, 3261048P7","6,72","6,48",B015LZ0PC6,"Philips Hue LightStrip+ 16 Mio Farben (Basis Set ohne Bridge), EEK A, 2m, flexibel erweiterbar, ultrahell max 1600 Lumen","6,59","0,3"
