"Abteilung","Suchbegriff","Suchhäufigkeit","ASIN","Nr. 1 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 2 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 3 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender","100","3742300954","Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","3.93","0.7","3869136901","Adventskalender Apfel, Zimt und Todeshauch 2016","3.59","0.98","B019YZ6MU8","Kosmos 631154 - Die drei ??? Adventskalender 2016 - Löse die 24 geheimnisvollen Rätsel auf der Skipiste","2.87","0.58","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","iphone 5s hülle","99.99","B00PHV9TOK","mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz","29.22","4.03","B00PHV9XBO","mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle weiß transparent","23.19","10.89","B00PHV74TW","mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle transparent schwarz","19.41","9.32","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","iphone 7 hülle","99.99","B01J1L5N3M","mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm)","45.09","15.87","B01J1L5P6C","mumbi Schutzhülle für iPhone 7 Hülle","44.52","8.79","B01J1L5IHS","mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz","4.2","7.36","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender kinder","99.98","B019YZ6MU8","Kosmos 631154 - Die drei ??? Adventskalender 2016 - Löse die 24 geheimnisvollen Rätsel auf der Skipiste","3.2","0.59","B00VLVC97E","PLAYMOBIL 6624 - Adventskalender - Weihnacht auf dem Bauernhof","3.03","0.49","3941118609","Leo Lausemaus 24 Adventsgeschichten: Adventsbox (Lingoli)","2.83","1.31","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","iphone 7 plus hülle","99.98","B01J82ELP0","mumbi UltraSlim Hülle für iPhone 7 Plus Schutzhülle transparent (Ultra Slim - 0.55 mm)","46.19","23.22","B01J82EJRA","mumbi Schutzhülle für iPhone 7 Plus Hülle","45.98","12.9","B01J82ES9Y","mumbi double GRIP Hülle für iPhone 7 Plus Schutzhülle schwarz","1.29","15.03","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kindle","99.98","B00QJDO0QC","Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","40.45","1","B0186FESVC","Der neue Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","15.95","13.93","B017DOUW76","Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Weiß) - mit Spezialangeboten","8.18","0.66","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","tablet","99.98","B00ZDWLEEG","Fire-Tablet, 17,7 cm (7 Zoll) Display, WLAN, 8 GB (Schwarz) - mit Spezialangeboten","19.15","0.97","B01AHBC23E","Das neue Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, WLAN, 16 GB (Schwarz) - mit Spezialangeboten","16.29","3.44","B01ERY8650","Samsung Galaxy Tab A (2016) T580N 25,54 cm (10,1 Zoll) Wi-Fi Tablet-PC (Octa-Core, 2GB RAM, 16GB eMMC, Android 6.0, neue Version) schwarz","7.93","0.33","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","( Leer )","99.97","3863555805","Simplissime - Das einfachste Kochbuch der Welt: Richtig gut kochen mit maximal 6 Zutaten","2.65","0.09","B01JZM0CC4","Towell Plus 00764 Multifunktions-Handtuch (grau, mit Magnetclip)","2.35","0.01","B01H71JGC2","Lipton Geschenkbox ausgewählte Sorten Tee, 1er Pack (8 x 5 Stück)","1.51","0.03","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender männer","99.97","3742300954","Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","8.04","0.98","B013BX1SG2","Funnyfrisch Knabber-Adventskalender mit 24 knusprigen Snacks, 1er Pack (1 x 640 g)","5.64","1.93","B01J5ZDIHW","Wiha Werkzeug Adventskalender 2016, 24-tlg. Set, 41161","5.25","2.32","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","final fantasy 15","99.97","B00DC3E4BS","Final Fantasy XV - Day One Edition - [PlayStation 4]","59.52","23.04","B01DPMEJKQ","Final Fantasy XV - Deluxe Edition - [PlayStation 4]","23.71","27.95","1911015052","Final Fantasy XV Lösungsbuch","3.31","5.65","","","","","","","","","","","","","","","","","","","","","",""
