Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"48,74","8,95",B01J1L5P6C,mumbi Schutzhülle für iPhone 7 Hülle,"40,89","9,06",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz,"3,81","6,07"
Amazon.de,nintendo switch,"99,99",B01M6ZGICT,Nintendo Switch Konsole Grau,"30,54","3,49",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"21,46","3,97",B01MT8ERQW,The Legend of Zelda: Breath of the Wild [Nintendo Switch],"7,72","1,62"
Amazon.de,iphone 5s hülle,"99,98",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"46,12","6,58",B00PHV9XBO,mumbi TPU Silikon Schutzhülle iPhone SE 5 5S Hülle weiß transparent,"34,98","15,17",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"11,76","5,67"
Amazon.de,iphone 7 plus hülle,"99,97",B01J82ELP0,mumbi UltraSlim Hülle für iPhone 7 Plus Schutzhülle transparent (Ultra Slim - 0.55 mm),"47,41","25,09",B01J82EJRA,mumbi Schutzhülle für iPhone 7 Plus Hülle,"46,82","14,45",B01J82ES9Y,mumbi double GRIP Hülle für iPhone 7 Plus Schutzhülle schwarz,"0,69","7,22"
Amazon.de,rauchmelder,"99,97",B01MTOCR7N,mumbi RM250 VDS 10 Jahres Rauchmelder DIN EN14604,"65,16","18,65",B00ZP7L0WA,"Smartwares TÜV Rauchmelder / Brandmelder, DIN EN 14604, reinweiß, RM149/4_1J","15,88","17,13",B007IGQ5SK,"Ei Electronics Ei650 10-Jahres-Rauchwarnmelder, 1 Stück","6,27","4,02"
Amazon.de,samsung galaxy s6 hülle,"99,97",B00T5WSNBC,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm),"48,23","11,82",B00T5WCJN0,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm),"48,08","10,11",B00W3T0PAQ,mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle,"0,57","11,15"
Amazon.de,iphone se hülle,"99,96",B01D90RB1S,mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm),"43,22","16,55",B00PHV9TOK,mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz,"43,22","10,13",B01G2DELRG,mumbi double GRIP Hülle für iPhone SE 5S 5 Schutzhülle schwarz,"2,15","9,97"
Amazon.de,nioh,"99,96",B01N0OJR14,Nioh [PlayStation 4],"78,45","35,87",B01NBR5F67,Vikings - Wolves of Midgard,"4,52","1,78",B01N154WIT,Dark Souls 3 - The Fire Fades Edition - [Playstation 4],"3,49","10,71"
Amazon.de,philips hue,"99,96",B01LZ8QYPI,"Philips Hue LED Lampe E27 Starter Set inklusive Bridge, 3. Generation, 3-er Set, dimmbar, 16 Mio Farben, app-gesteuert","18,13","6,9",B016H0R7SE,"Philips Hue White LED Lampe 9,5 W, EEK A+, A60 E27 Starter Set inklusive Bridge, 2-er Set","9,3","3,14",B0152WXI0E,"Philips Hue White Einzellampe 9 W, EEK A+, A60 E27 dimmbar, Standard Verpackung 8718696449578","7,34","4,08"
Amazon.de,fire tv stick,"99,95",B00KAKPZYG,Fire TV Stick (Vorgängermodell),"58,04","22,21",B01ETRIS3K,Der neue Fire TV Stick mit Alexa-Sprachfernbedienung,"18,53","0,78",B00LO2DE6K,"Fire TV Stick, Zertifiziert und generalüberholt","10,39","21,22"
