Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,alexa,"99,99",B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","41,06","15,22",B01GAGVCUY,"Amazon Echo, Schwarz","33,56","13,58",B01DFKC22A,"Amazon Echo Dot (2. Generation), Weiß","8,12","10,72"
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"46,81","19,73",B01J1L5P6C,mumbi Schutzhülle für iPhone 7 Hülle,"37,3","7,98",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz,"5,21","4,5"
Amazon.de,luftmatratze,"99,99",B000QEDIL8,Intex 68950 - Luftbett 191 x 76 x 22 cm,"19,84","9,45",B000HBGSP8,"Luftbett Downy Blue ""Full"" 137 x 191 x 22 cm","13,28","7,4",B00F0B5IV0,"Bestway Luftbett Double-Size, 191 x 137 x 22cm","10,59","7,02"
Amazon.de,nintendo switch,"99,99",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"31,86","3,66",B01M6ZGICT,Nintendo Switch Konsole Grau,"7,8","2,18",B01MT8ERQW,The Legend of Zelda: Breath of the Wild [Nintendo Switch],"4,46","2,42"
Amazon.de,pool,"99,99",B001IWNDDA,"Intex Family Schwimmbecken, blau, 300 x 200 x 75 cm","29,06","7,97",B000MBUOOO,"Intex Easy Set Aufstellpool, blau, Ø 305 x 76 cm","8,69","8,93",B014FHBGHY,"Bestway Steel Pro Frame Pool Set mit Filterpumpe + Zubehör, 366 X 122cm","6,06","3,02"
Amazon.de,ps4 spiele,"99,99",B06W9L2KY3,Crash Bandicoot N.Sane Trilogy - [PlayStation 4],"5,34","0,38",B01N5SX9KH,This is the Police - [PlayStation 4],"4,61","2,91",B018UK8NQ4,Gran Turismo Sport - [PlayStation 4],"3,38","0,54"
Amazon.de,ventilator,"99,99",B003KHJO6G,"Honeywell HT-900E Kraftvoller und geräuscharmer Turbo-Ventilator, schwarz","24,02","10,25",B001AO0OXI,Honeywell HO-5500RE Turmventilator oszillierend silber/schwarz,"11,73","2,87",B001UHOU12,AEG VL 5529 Tisch-/Wand-Ventilator,"10,88","10,66"
Amazon.de,birkenstock damen,"99,98",B000XW0T56,"Birkenstock Classic Madrid Birko-Flor, Damen Pantoletten, Schwarz (Schwarz Lack), 38 EU","20,75","6,41",B000QDTWH8,"Birkenstock Classic Gizeh Birko-Flor, Unisex-Erwachsene Zehentrenner, Schwarz (Schwarz), 38 EU","9,05","2,91",B00KQECLW0,"Birkenstock Gizeh EVA Unisex-Erwachsene Zehentrenner, Schwarz (Black), 39 EU","5,64","1,95"
Amazon.de,bluetooth lautsprecher,"99,98",B06XGTYJ4X,JBL Flip 3 Spritzwasserfester Tragbarer Bluetooth-Lautsprecher mit außerordentlich Kraftvollem Klang - Sonderausgabe - Schwarz,"16,06","1,36",B00TFGWAA8,"JBL Go Ultra Wireless Bluetooth Lautsprecher (3,5mm AUX-Eingang, geeignet für Apple iOS und Android Smartphones, Tablets und MP3 geräten) schwarz","12,18","6,4",B00X9XD1LK,Bose SoundLink Mini Bluetooth Lautsprecher II carbon,"9,96","1,91"
Amazon.de,elektrogrill,"99,98",B0015Q46VC,Steba VG200 BBQ Tischgrill mit Glasdeckel,"8,46","4,17",B01ABOV0HQ,Bruzzzler BBQ Elektrogrill - Standgrill 2000 Watt,"8,2","9,01",B000P6B8MI,Severin PG 1511 Barbecue-Elektrogrill schwarz,"5,75","3,56"
