Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,alexa,"99,99",B01GAGVCUY,"Amazon Echo, Schwarz","38,79","9,99",B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","33,3","14,18",B01GAGVWYU,"Amazon Echo, Weiß","7,5","6,96"
Amazon.de,fire tv stick,"99,99",B01ETRIS3K,Der neue Fire TV Stick mit Alexa-Sprachfernbedienung,"75,6","4,28",B00LO2DE6K,"Fire TV Stick, Zertifiziert und generalüberholt","12,75","53,7",B00UH2K93O,Amazon Fire TV mit 4K Ultra HD,"5,5","5,02"
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"48,19","20,72",B01J1L5P6C,mumbi Schutzhülle für iPhone 7 Hülle,"34,42","9,46",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz,"4,9","3,05"
Amazon.de,kindle,"99,99",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","35,46","1,23",B0186FESVC,"Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","15,8","34,51",B00IOY524S,"Kindle Voyage eReader, 15,2 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integriertem intelligenten Frontlicht, PagePress-Sensoren, WLAN","10,01","1,52"
Amazon.de,kindle paperwhite,"99,99",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","47,51","7,21",B017DOUW76,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Weiß) - mit Spezialangeboten","16,15","7,2",B00QJDU3KY,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz)","10,77","6,31"
Amazon.de,luftmatratze,"99,99",B002BW7QCU,"Intex Luftbett Classic Downy Blue Queen, Blau, 152 x 203 x 22 cm","15,02","3,35",B000QEDIL8,Intex 68950 - Luftbett 191 x 76 x 22 cm,"14,42","5,76",B000HBGSP8,"Luftbett Downy Blue ""Full"" 137 x 191 x 22 cm","11,11","5,48"
Amazon.de,nintendo switch,"99,99",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"36,59","8,42",B06XG8S548,Nintendo Switch-Konsole Neon-Blau / Neon-Rot + Splatoon 2,"5,98","6,05",B072QKJW5S,Nintendo Switch Konsole Neon-Rot/Neon-Blau + The Legend of Zelda: Breath of the Wild + Nintendo Switch Premium Konsolen-Tasche,"3,85","0,35"
Amazon.de,philips hue,"99,99",B01LZ8QYPI,"Philips Hue White & Color Ambiance E27 LED Lampe Starter Set inkl. Bridge, 3. Generation, dimmbar, bis zu 16 Millionen Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","17,99","0,6",B016H0R7SE,"Philips Hue White E27 LED Lampe Starter Set inkl. Bridge, dimmbar, warmweißes Licht, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","12,66","0,88",B0148NMVQA,"Philips 7190155PH EEK A Hue LightStrip+ Basis Set(ohne Bridge), flexibel erweiterbar, dimmbar, bis zu 16 Millionen Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot), 2m, mehrfarbig","5,39","0,24"
Amazon.de,popsocket,"99,99",B01EFKRR88,PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Peace Mandala Sky,"14,58","3,37",B00UY1YTGG,PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Black,"10,63","2,83",B01DNRMTA0,PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Blush,"9,61","2,3"
Amazon.de,ps4 spiele,"99,99",B072MZ8Z3K,Assassin's Creed Origins - [PlayStation 4],"4,61","2,15",B06W9L2KY3,Crash Bandicoot N.Sane Trilogy - [PlayStation 4],"3,98","0,48",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"3,87","0,49"
