Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,adventskalender,100,B0752X7MM4,Amazon Beauty-Adventskalender 2017,"6,74","3,56",B06XP3ZMVD,Nici 41240 - Kosmetik Adventskalender Einhorn Theodor,"4,71","1,96",B00ALPZGBW,"Pringles Bus Adventskalender, 1er Pack (1 x 1.1 kg)","4,56","1,45"
Amazon.de,adventskalender 2017,"99,99",B0752X7MM4,Amazon Beauty-Adventskalender 2017,"6,57","3,26",B071JRK6SC,"Intersnack Adventskalender 2017, 1er Pack (1 x 790 g)","4,73","1,9",B0744NXMR3,"Maybelline New York Adventskalender, 1er Pack","4,26","1,26"
Amazon.de,adventskalender frauen,"99,99",B0744NXMR3,"Maybelline New York Adventskalender, 1er Pack","9,86","4,3",B0752X7MM4,Amazon Beauty-Adventskalender 2017,"9,16","3,48",B07447DHQK,"Essie Adventskalender 2017, 1er Pack","6,35","1,37"
Amazon.de,adventskalender kinder,"99,99",B06XDF86HS,Craze 57361 - Adventskalender Disney Pixar Cars 3,"4,12","2,75",B06XDFDKT8,Craze 57460 - Adventskalender Bibi und Tina,"3,81","2,58",3941118609,Adventsbox - Leo Lausemaus: 24 Adventsgeschichten (Lingoli),"3,54","3,5"
Amazon.de,adventskalender männer,"99,99",B071JRK6SC,"Intersnack Adventskalender 2017, 1er Pack (1 x 790 g)","9,47","2,97",B0747WXNPT,"Niederegger Adventskalender Männersache, 1er Pack (1 x 300 g)","7,55","3,03",3742300954,Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken,"6,99","3,69"
Amazon.de,alexa,"99,99",B06ZXQV6P8,"Das neue Amazon Echo (2. Generation), Anthrazit Stoff","28,5","12,37",B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","21,96","2,58",B01KGEW44Y,Wir stellen vor: Echo Show - schwarz,"6,32","8,47"
Amazon.de,assassins creed origins,"99,99",B072MZ8Z3K,Assassin's Creed Origins - [PlayStation 4],"65,69","8,57",B072KF3LK2,Assassin's Creed Origins - Gods  Collector' s Edition - [PlayStation 4],"7,73","9,39",B071GKWG5M,Assassin's Creed Origins - Gold  Edition - [PlayStation 4],"5,43","11,36"
Amazon.de,echo,"99,99",B06ZXQV6P8,"Das neue Amazon Echo (2. Generation), Anthrazit Stoff","25,32","18,24",B075RKSK2H,,"12,92",0,B01DFKBG54,"Amazon Echo Dot (2. Generation), Schwarz","11,74","1,82"
Amazon.de,fifa 18,"99,99",B072M7NPMC,FIFA 18 - Standard Edition - [PlayStation 4],"85,7","47,75",B072Q5XPQP,FIFA 18 - Ronaldo Edition - [PlayStation 4],"4,98","18,87",B07212881M,FIFA 18 - Standard Edition - Steelbook Edition (exkl. bei Amazon.de) - [PlayStation 4],"1,68",0
Amazon.de,fire tv stick,"99,99",B01ETRIS3K,Fire TV Stick mit Alexa-Sprachfernbedienung,"75,11","37,14",B06XTVS1D4,Das neue Fire TV mit 4K Ultra HD und Alexa-Sprachfernbedienung,"12,37","6,44",B01LXP5TXI,Amazon Ethernetadapter für Fire TV und Fire TV Stick mit Alexa-Sprachfernbedienung (nur 2017 Modelle),"4,39","2,69"
Amazon.de,gran turismo sport,"99,99",B018UK8NQ4,Gran Turismo Sport - [PlayStation 4],"63,34","21,6",B01FXUJS2W,Gran Turismo Sport - Steelbook Edition  - [PlayStation 4],"9,27","20,65",B01GE7LI3K,Gran Turismo Sport - Collector's Edition  - [PlayStation 4],"8,08","24,01"
Amazon.de,iphone 7 hülle,"99,99",B01J1L5N3M,mumbi UltraSlim Hülle für iPhone 8 / iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm),"50,38","31,59",B01J1L5P6C,mumbi Schutzhülle für iPhone 8 / iPhone 7 Hülle,"37,98","9,53",B01J1L5IHS,mumbi double GRIP Hülle für iPhone 8 / iPhone 7 Schutzhülle schwarz,"7,47","10,45"
Amazon.de,kalender 2018,"99,99",3840780012,Buchkalender Balacron schwarz 2018 - Bürokalender A5 / Cheftimer A5 - 1 Tag 1 Seite - 320 Seiten,"6,69","4,94",3862294684,Taupe (Nichts erlebt) A6 2018: Terminplaner in Lederoptik,"5,69","3,17",386229465X,Timer Schwarz (Sei du selbst) A6 2018: Terminplaner in Lederoptik,"5,55","4,35"
Amazon.de,kindle,"99,99",B00QJDO0QC,"Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","26,72","6,9",B06XDK92KS,"Der neue Kindle Oasis eReader, wasserfest, hochauflösendes 7 Zoll-Display (300 ppi), integriertes Audible, 8 GB, WLAN","16,23","4,59",B0186FESVC,"Kindle eReader, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","14,26","31,3"
Amazon.de,lego star wars,"99,99",B06WP5BS19,Lego Star Wars 75190 - First Order Star Destroyer,"12,64","1,7",B06X3V32T9,Lego Star Wars 75189 - First Order Heavy Assault Walker,"8,23","2,3",B01J41K0HS,LEGO Star Wars 75168 - Yoda's Jedi Starfighter,"5,06","5,44"
Amazon.de,nintendo switch,"99,99",B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,"29,9","15,99",B075LSK284,Nintendo Switch Konsole Rot + Mario Odyssey,"18,32","4,48",B01MUBNPYP,Super Mario Odyssey [Nintendo Switch],"6,21","0,13"
Amazon.de,nintendo switch spiele,"99,99",B01MUBNPYP,Super Mario Odyssey [Nintendo Switch],"11,34","0,23",B01N4ND0F9,Mario Kart 8 Deluxe [Nintendo Switch],"4,96","0,91",B072155YKB,FIFA 18 - Standard  Edition - [Nintendo Switch],"4,14","2,82"
Amazon.de,paw patrol,"99,99",B00JLDGLB4,Spin Master 6022632 - Paw Patrol - Lookout Headquarter,"13,16",4,B01BQ8G684,"CANAL TOYS – ct37003 – Kreativset – Paw patrol- Werkzeugkoffer, Aktivitäten","8,19","2,54",B0119B90T0,Spin Master 6027647 - Paw Patrol Basic Vehicles - Chase und SWAT-Wagen,"4,82","3,9"
Amazon.de,philips hue,"99,99",B01LZ8QYPI,"Philips Hue White & Color Ambiance E27 LED Lampe Starter Set, drei Lampen 3. Generation inkl. Bridge, dimmbar, bis zu 16 Millionen Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","12,97","3,35",B0148NMVQA,"Philips 7190155PH EEK A Hue LightStrip+ Basis Set(ohne Bridge), flexibel erweiterbar, dimmbar, bis zu 16 Millionen Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot), 2m, mehrfarbig","9,99","3,75",B01LVXIM42,"Philips Hue White & Color Ambiance E27 LED Lampe Erweiterung, 3. Generation, dimmbar, bis zu 16 Millionen Farben, steuerbar via App, kompatibel mit Amazon Alexa (Echo, Echo Dot)","6,28","6,75"
Amazon.de,playmobil,"99,99",B06W5XHWVT,PLAYMOBIL 9266 - Modernes Wohnhaus,"6,13","1,14",B0077QT4VG,Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus,"3,45","2,07",B00IF1VVFO,PLAYMOBIL 5568 - Kinderspielplatz,"3,27","2,05"
Amazon.de,popsocket,"99,99",B01DNRMTA0,PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Blush,"11,32","4,08",B00UY1YTGG,PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - Black,"11,29","4,87",B01LYV2HE8,PopSockets: Ausziehbarer Sockel und Griff für Smartphones und Tablets - White Hear Black,"7,31","3,46"
