"Department=[Amazon.de]","Search Term=[]","Enter ASINs or Products=[]","Reporting Range=[Monthly]","Viewing=[1/1/18 - 1/31/18]"
"Department","Search Term","Search Frequency Rank","#1 Clicked ASIN","#1 Product Title","#1 Click Share","#1 Conversion Share","#2 Clicked ASIN","#2 Product Title","#2 Click Share","#2 Conversion Share","#3 Clicked ASIN","#3 Product Title","#3 Click Share","#3 Conversion Share"
"Amazon.de","ps4 spiele",1,"B077QH54QM","Secret of Mana [PlayStation 4]","12.61%","8.90%","B01M6Y1Y4A","Red Dead Redemption 2 [PlayStation 4]","6.32%","3.31%","B06W9L2KY3","Crash Bandicoot N.Sane Trilogy - [PlayStation 4]","5.38%","9.10%"
"Amazon.de","laptop",2,"B0769T2FXH","Lenovo IdeaPad 120S 29,5 cm (11,6 Zoll HD TN Antiglare) Slim Notebook (N3350 Dual-Core, 2 GB RAM, 32 GB eMMC, Intel HD Grafik 500, Windows 10 Home) pink","18.81%","12.09%","B076DB34B8","Acer Aspire 1 A114-31-C3RS 35,6 cm (14 Zoll HD matt) Notebook (Intel Celeron N3450, 4GB RAM, 64GB eMMC, Intel HD, HDMI, Win 10 S) schwarz","11.56%","14.26%","B01HM4XJ7M","Microsoft Surface Pro 4 Signature Type Cover - Designer Edition aus Alcantara (QWERTZ)","9.00%","3.57%"
"Amazon.de","ps4",3,"B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","25.97%","32.20%","B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","14.91%","18.93%","B01LQF9UKS","PlayStation 4 Pro - Konsole (1TB)","6.79%","4.17%"
"Amazon.de","nintendo switch",4,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","48.00%","44.76%","B01M6ZGICT","Nintendo Switch Konsole Grau","15.85%","22.24%","B075LSK284","Nintendo Switch Konsole Rot + Mario Odyssey","3.81%","1.91%"
"Amazon.de","kopfhörer",5,"B00NBR70DO","Sony MDR-ZX110 faltbarer Bügelkopfhörer, schwarz","22.07%","29.93%","B01M6WNWR6","JBL T450BT Kabelloser On-Ear Bluetooth Kopfhörer mit Integrierter Musiksteuerung und Mikrofon Kompatibel mit Apple und Android Geräten -Schwarz","7.90%","3.98%","B00WV0SZH2","Samsung 3700664152936 Stereo-Kopfhörer für Galaxy S6 weiß","7.45%","9.17%"
"Amazon.de","alexa",6,"B06ZXQV6P8","Das neue Amazon Echo (2. Generation), Anthrazit Stoff","30.47%","32.94%","B01DFKBG54","Amazon Echo Dot (2. Generation), Schwarz","21.36%","24.49%","B01J4IYB7Q","Wir stellen vor: Echo Plus - Mit integriertem Smart Home-Hub (schwarz)","11.16%","7.02%"
"Amazon.de","nintendo switch spiele",7,"B01MUBNPYP","Super Mario Odyssey [Nintendo Switch]","8.23%","16.57%","B071X9F4D8","Yoshi für Nintendo Switch (Arbeitstitel) - [Nintendo Switch]","7.86%","2.76%","B01N4ND0F9","Mario Kart 8 Deluxe [Nintendo Switch]","7.14%","15.48%"
"Amazon.de","faschingskostüme damen",8,"B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","19.46%","17.65%","B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","14.41%","17.00%","B00TIVPXDQ","Damen Kostüm Marienkäfer Glückskäfer Ladybug","9.68%","14.77%"
"Amazon.de","lego",9,"B01J41M9WC","LEGO 10703 Classic Kreativ-Bauset Gebäude, Baukästen","9.58%","6.11%","B06VV73LFR","LEGO City 60161 - Dschungel-Forschungsstation","5.61%","1.52%","B01J41DNWM","Lego 31058 Creator Dinosaurier, Dinosaurier Spielzeug","4.90%","7.83%"
"Amazon.de","lego star wars",10,"B06WP5BS19","LEGO Star Wars 75190 - First Order Star Destroyer","9.04%","5.79%","B00SDTTH5E","LEGO Star Wars 75105 - Millennium Falcon Spielzeug","8.97%","3.49%","B075GR9G8H","LEGO Star Wars General Grievous Combat Speeder 75199 Star Wars Spielzeug Gleiter","7.51%","8.94%"
"Amazon.de","fernseher",11,"B01BDR9Q6W","Dyon Enter 32 Pro 80 cm (32 Zoll) Fernseher (Triple Tuner)","15.59%","21.26%","B06XGWTLB3","Samsung MU6179 108 cm (43 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","8.56%","5.01%","B075N7VBTR","Techwood H32T11A 81 cm (32 Zoll) Fernseher (HD Ready, Triple Tuner)","6.61%","7.00%"
"Amazon.de","tablet",12,"B074Q5984Y","Lenovo Tab10 25,5 cm (10,1 Zoll HD IPS Touch) Tablet-PC (APQ8009 Quad-Core, 1GB RAM, 16GB eMCP, Android 6.0) schwarz","28.33%","43.25%","B01ERY8650","Samsung Galaxy Tab A (2016) T580 25,54 cm (10,1 Zoll) WiFi Tablet PC (Octa Core 2GB RAM Android 6,0 neue Version) schwarz","8.07%","4.56%","B01M3015CT","Das neue Fire HD 10-Tablet mit Alexa Hands-free, 25,65 cm (10,1 Zoll) 1080p Full HD-Display, 32 GB, schwarz, mit Spezialangeboten","7.68%","8.30%"
"Amazon.de","playmobil",13,"B06W5XHWVT","Playmobil 9266 - Modernes Wohnhaus","9.35%","2.56%","B06WVPG5K4","Playmobil 9280 - Skihütte","5.63%","3.28%","B00VLV48V4","Playmobil 6685 - Krankenwagen mit Licht und Sound","5.53%","4.70%"
"Amazon.de","samsung",14,"B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","15.78%","25.88%","B01N6M3K34","Samsung Galaxy A5 (2017) Smartphone ( 13,22 cm(5,2 Zoll) Touch-Display, 32 GB Speicher, Android 6.0) schwarz","15.01%","15.76%","B06XJ49G5B","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) midnight black","12.29%","6.23%"
"Amazon.de","staubsauger",15,"B01MTF06KN","Philips beutelloser Staubsauger PowerPro Compact (AAA-Energie-Label, 650 W, 1,5 L Staubvolumen, integrierte Bürste, weiß) FC9332/09","13.19%","13.01%","B00NTR1PTG","Siemens VS06B1110 Bodenstaubsauger synchropower mit Beutel (700 W, EEK B, highPower Motor, powerSecure System) moonlight blue","10.37%","14.97%","B01DSOO0B4","Rowenta RO3731EA Compact Power Cyclonic Bodenstaubsauger (750 W, EEK A, beutellos, 1,5 L, hocheffizienter Filter) schwarz/blau","9.33%","11.29%"
"Amazon.de","smartphone",16,"B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","19.14%","17.68%","B01MXFV5D3","Honor 6X Smartphone (13,97 cm (5,5 Zoll) Full HD Display, 32 GB Speicher, Android) grau","6.31%","5.98%","B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","6.21%","11.83%"
"Amazon.de","waschmaschine",17,"B01BPFJFU4","Siemens WM14N120 iQ300 Waschmaschine FL / A+++ / 157 kWh/Jahr / 1390 UpM / 7 kg / Weiß / Spezialprogramm für Sport- und Outdoor-Bekleidung / Imprägnier-Programm / Nachlegefunktion","29.18%","27.77%","B00D8DLBC2","Bauknecht WA PLUS 744 A+++ Waschmaschine Frontlader / A+++ B / 1400 UpM / 7 kg / Weiß / Smart Select / Jeans Programm","7.35%","10.47%","B006T7JXMY","Gorenje WA6840 Waschmaschine FL / A+++ / 146 kWh/Jahr / 1400 UpM / 6 kg / 9.146 L/Jahr / Weiß / Startzeitvorwahl (24 h) / LED Display","5.64%","6.83%"
"Amazon.de","kostüm damen",18,"B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","17.98%","18.65%","B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","15.18%","17.89%","B00TIVPXDQ","Damen Kostüm Marienkäfer Glückskäfer Ladybug","8.36%","12.18%"
"Amazon.de","monitor",19,"B074L3DLZF","BenQ GW2470HE 60,45 cm (23,8 Zoll) Monitor (1920x1080 Full HD, 2x HDMI, 4ms Reaktionszeit) schwarz","27.60%","34.11%","B01DMDKZTC","Samsung C24F396FHU 61 cm (24 Zoll) Curved Monitor (VGA, HDMI, 4ms Reaktionszeit, 1920 x 1080 Pixel) schwarz","7.91%","5.19%","B01BCF09R0","Samsung C27F396F 68,6 cm (27 Zoll) Monitor (VGA, HDMI, 4ms Reaktionszeit, 1920 x 1080 Pixel) schwarz","7.24%","6.10%"
"Amazon.de","kalender 2018",20,3862294811,"VintageArt 2018 | Kalender | Taschen-Kalender | Grafik Werkstatt | A6: Terminplaner","12.40%","10.80%","B071JDYTZ6","Busy B Terminkalender 2018 für Vielbeschäftigte mit doppelter Wochenansicht in modernem Design","11.54%","8.98%",3840780012,"Buchkalender Balacron schwarz 2018 - Bürokalender A5 / Cheftimer A5 - 1 Tag 1 Seite - 320 Seiten","6.42%","5.72%"
"Amazon.de","nerf",21,"B01N2G3YGV","Hasbro Nerf B7784EU4 - Accustrike Alphahawk, Spielzeugblaster","11.92%","12.83%","B01MXLMEAP","Hasbro Nerf B9837EU4 - N-Strike Elite Disruptor, Spielzeugblaster","11.40%","20.25%","B01BP6GPV0","Hasbro Nerf B5573EU4 - N-Strike Elite Hyper-Fire Blaster, Spielzeugblaster","10.21%","14.23%"
"Amazon.de","notebook",22,"B0769NXR9R","Lenovo IdeaPad 120S 29,5 cm (11,6 Zoll HD TN Antiglare) Slim Notebook (N3350 Dual-Core, 4 GB RAM, 64 GB eMMC, Intel HD Grafik 500, Windows 10 Home) pink","11.45%","8.67%","B076DB34B8","Acer Aspire 1 A114-31-C3RS 35,6 cm (14 Zoll HD matt) Notebook (Intel Celeron N3450, 4GB RAM, 64GB eMMC, Intel HD, HDMI, Win 10 S) schwarz","10.38%","9.83%","B0749VJ775","Odys Winbook 13 33,78 cm (13,3 Zoll) Ultrabook / Notebook (Intel Celeron Quad Core Prozessor N3450, 64GB Festplatte, 4GB RAM, Intel HD Graphics 500, Win 10 Home) champagne / gold","7.12%","3.76%"
"Amazon.de","handy",23,"B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","17.13%","11.44%","B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","11.86%","9.51%","B01J6DKIG2","swisstone SC 230 Dual SIM Handy (4,5 cm (1,8 Zoll), mit extra großem beleuchtetem, Farbdisplay) rot","6.10%","10.42%"
"Amazon.de","drucker",24,"B01HIH1P7O","HP Deskjet 3636 Multifunktionsdrucker weiß","22.22%","23.57%","B01HIH1PNS","HP Envy 4525 Multifunktionsdrucker (Fotodrucker, Scanner, Kopierer, HP Instant Ink ready, Airprint, ePrint, Duplex, WiFi Direct, 4800 x 1200 dpi) schwarz","16.71%","17.28%","B00MCDJ4UK","Epson WorkForce WF-2630WF Tintenstrahl-Multifunktionsgerät (Drucker, Scanner, kopieren, Fax, WiFi) schwarz","11.05%","11.09%"
