"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.02.18 - 28.02.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","spiele",1,"B01GVGHH5W","KOSMOS Spiele 692681 - Exit - Das Spiel, Die verlassene Hütte, Kennerspiel des Jahres 2017","32,51%","42,87%","B017WFKS16","Heidelberger Spieleverlag CZ066 - Codenames, Spiel des Jahres 2016","20,35%","7,19%","B009H0EFDM","Hasbro Spiele A2120E24 - Jenga Classic, Kinderspiel","7,16%","5,61%"
"Amazon.de","ps4 spiele",2,"B077QH54QM","Secret of Mana [PlayStation 4]","12,47%","10,55%","B0787HCKD4","A Way Out - [PlayStation 4]","8,87%","6,20%","B0721MKSKV","Monster Hunter: World - [PlayStation 4]","6,77%","6,07%"
"Amazon.de","nintendo switch",3,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","44,83%","41,80%","B01M6ZGICT","Nintendo Switch Konsole Grau","16,53%","21,21%","B07913DTK3","Donkey Kong Country Tropical Freeze - [Nintendo Switch]","3,66%","3,11%"
"Amazon.de","ps4",4,"B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","25,31%","32,22%","B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","20,07%","32,01%","B01LQF9UKS","PlayStation 4 Pro - Konsole (1TB)","7,41%","4,44%"
"Amazon.de","laptop",5,"B0769T2FXH","Lenovo IdeaPad 120S 29,5 cm (11,6 Zoll HD TN matt) Notebook (Intel Celeron N3350, 2GB RAM, 32GB eMMC, Intel HD Grafik 500, Windows 10 Home) pink","12,11%","7,95%","B072PRPGQC","HP 17-ak015ng 1UQ12EA 43,9 cm (17,3 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 500 GB HDD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) schwarz","8,64%","14,34%","B01HM4XJ7M","Microsoft Surface Pro 4 Signature Type Cover - Designer Edition aus Alcantara (QWERTZ)","6,97%","5,43%"
"Amazon.de","kopfhörer",6,"B00NBR70DO","Sony MDR-ZX110 faltbarer Bügelkopfhörer, schwarz","23,04%","27,68%","B01M6WNWR6","JBL T450BT Kabelloser On-Ear Bluetooth Kopfhörer mit Integrierter Musiksteuerung und Mikrofon Kompatibel mit Apple und Android Geräten -Schwarz","17,19%","10,00%","B00CBU0IV8","Panasonic  RP-HJE125-KI n-Ear-Kopfhörer schwarz","9,35%","19,99%"
"Amazon.de","lego",7,"B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","9,58%","5,41%","B01J41M9WC","LEGO Classic 10703 - Kreativ-Bauset Gebäude, Baukästen","5,69%","4,16%","B01J41DNWM","LEGO Creator 31058 - Dinosaurier, Dinosaurier Spielzeug","5,24%","9,07%"
"Amazon.de","playmobil",8,"B06WVLX66Y","Playmobil 9270 - Fröhliches Kinderzimmer","8,47%","9,34%","B00VLV48V4","Playmobil 6685 - Krankenwagen mit Licht und Sound","5,91%","6,26%","B06W5XHWVT","Playmobil 9266 - Modernes Wohnhaus","4,93%","1,94%"
"Amazon.de","alexa",9,"B06ZXQV6P8","Das neue Amazon Echo (2. Generation), Anthrazit Stoff","31,50%","35,95%","B01DFKBG54","Amazon Echo Dot (2. Generation), Schwarz","19,75%","20,56%","B01J4IYB7Q","Wir stellen vor: Echo Plus - Mit integriertem Smart Home-Hub (schwarz)","12,41%","9,25%"
"Amazon.de","tablet",10,"B07889GC3S","Samsung Galaxy Tab A SM-T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, WiFi, Android 6.0) schwarz","16,56%","19,31%","B01J90P010","Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten","14,41%","20,36%","B074Q5984Y","Lenovo Tab10 25,5 cm (10,1 Zoll HD IPS Touch) Tablet-PC (Qualcomm Snapdragon APQ8009, 1GB RAM, 16GB eMCP, Android 6.0) schwarz","12,18%","13,08%"
"Amazon.de","radiowecker",11,"B01BP0O0JU","Philips AJ2000 Radiowecker (Digital UKW, 2x Weckzeiten, Sleep-Timer) weiß","17,09%","11,39%","B00QK8S8N2","AEG MRC 4142 Uhrenradio  Einschlafautomatik, 24 Stunden-LED-Anzeige","13,23%","21,24%","B00K792JKS","Grundig KSC 35 Uhrenradio (UKW-Tuner) mit Sleeptimer-Funktion weiß","9,27%","9,85%"
"Amazon.de","smartphone",12,"B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","18,97%","19,93%","B079SDRNJM","Honor 7X Smartphone (15,06 cm (5,93 Zoll) FullView FHD+ Display, 64 GB Speicher, Android 7.0) Phoenix Red Limited Edition","7,78%","2,20%","B0779SG4ZN","Honor 7X Smartphone (15,06 cm (5,93 Zoll) Display, 64 GB interner Speicher, Android 7.0) Midnight Black","4,51%","2,20%"
"Amazon.de","waschmaschine",13,"B01BPFJFU4","Siemens WM14N120 iQ300 Waschmaschine FL / A+++ / 157 kWh/Jahr / 1390 UpM / 7 kg / Weiß / Spezialprogramm für Sport- und Outdoor-Bekleidung / Imprägnier-Programm / Nachlegefunktion","15,92%","10,20%","B00D8DLBC2","Bauknecht WA PLUS 744 A+++ Waschmaschine Frontlader / A+++ B / 1400 UpM / 7 kg / Weiß / Smart Select / Jeans Programm","12,90%","19,26%","B00N9XDPSO","Siemens iQ700 WM16W540 iSensoric Premium-Waschmaschine / A+++ / 1600 UpM / 8kg / Weiß / VarioPerfect / Antiflecken-System / Selbstreinigungsschublade","9,32%","7,97%"
"Amazon.de","staubsauger",14,"B01MTF06KN","Philips beutelloser Staubsauger PowerPro Compact (AAA-Energie-Label, 650 W, 1,5 L Staubvolumen, integrierte Bürste, weiß) FC9332/09","19,76%","20,95%","B071VNCNLD","AmazonBasics Bodenstaubsauger mit Beutel, 1,5 l, leistungsstarker Motor","14,26%","20,50%","B01N1738SK","Philips beutelloser Staubsauger PowerPro Compact (AAA-Energie-Label, 650W, 1,5 L Staubvolumen, integrierte Bürste, schwarz) FC9331/09","7,44%","7,05%"
"Amazon.de","nerf",15,"B01MXLMEAP","Hasbro Nerf B9837EU4 - N-Strike Elite Disruptor, Spielzeugblaster","14,80%","26,86%","B01BP6GPV0","Hasbro Nerf B5573EU4 - N-Strike Elite Hyper-Fire Blaster, Spielzeugblaster","9,27%","9,40%","B01D4GA4AM","Hasbro Nerf 98696EU4 - N-Strike Elite Retaliator Spielzeugblaster in verschiendenen Farbausführungen","7,55%","7,41%"
"Amazon.de","fernseher",16,"B01BDR9Q6W","Dyon Enter 32 Pro 80 cm (32 Zoll) Fernseher (Triple Tuner)","21,93%","24,22%","B075R48B14","Dyon Live 22 Pro (22 Zoll) Fernseher (Full-HD, Triple Tuner, DVB-T2 H.265 /HEVC)","8,97%","12,60%","B06XGWTLB3","Samsung MU6179 108 cm (43 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","7,46%","4,17%"
"Amazon.de","samsung",17,"B01N6M3K34","Samsung Galaxy A5 (2017) Smartphone ( 13,22 cm(5,2 Zoll) Touch-Display, 32 GB Speicher, Android 6.0) schwarz","16,05%","20,49%","B06XJ49G5B","Samsung Galaxy S8 Smartphone (5,8 Zoll (14,7 cm) Touch-Display, 64GB interner Speicher, Android OS) midnight black","13,09%","6,76%","B071G7K3D1","Samsung Galaxy J7 DUOS Smartphone (13,93 cm (5,48 Zoll) Touch-Display, 16 GB Interner Speicher, Android 7.0) Schwarz","10,33%","7,99%"
"Amazon.de","lego star wars",18,"B075GHYZ9G","LEGO Star Wars 75201 - First Order AT-ST, Spielzeug","10,09%","3,03%","B06WP5BS19","LEGO Star Wars 75190 - First Order Star Destroyer","7,54%","4,27%","B075GR9G8H","LEGO Star Wars 75199 - General Grievous Combat Speeder, Spielzeug Gleiter","6,11%","9,14%"
"Amazon.de","paw patrol",19,"B0119B90T0","Spin Master 6027647 - Paw Patrol Basic Vehicles - Chase und SWAT-Wagen","13,69%","14,15%","B00JLDGLB4","Spin Master 6022632 - Paw Patrol - Lookout Headquarter","10,62%","5,53%","B0119B90D6","Spin Master 6027646 - Paw Patrol Basic Vehicles - Marshall und Rettungswagen","10,15%","10,64%"
"Amazon.de","nintendo switch spiele",20,"B07913DTK3","Donkey Kong Country Tropical Freeze - [Nintendo Switch]","13,63%","9,86%","B01MUBNPYP","Super Mario Odyssey [Nintendo Switch]","7,19%","15,90%","B07913JL8D","Hyrule Warriors Definitive Edition - [Nintendo Switch]","6,89%","3,29%"
"Amazon.de","mikrowelle",21,"B00BRH5B6I","Samsung MS23F301EASEG Mikrowelle / 23 L / 800 W / Schwarz / Silber / Premium Select Line elektronische Steuerung","18,93%","16,00%","B007TVJSY2","Sharp Electronics R242BKW Mikrowelle / 800W / Auto-MinutenStart / Kurzzeitmesser 8 Gar- und Auftau-Automatik-Programme / Garraumbeleuchtung","13,44%","15,38%","B00KHT1CCY","Samsung GE89MST-1XEG Grill-Mikrowelle (1.200 W) schwarz / silber, 23 l","9,04%","7,78%"
"Amazon.de","faschingskostüme damen",22,"B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","18,95%","13,60%","B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","13,77%","14,45%","B00TIVPXDQ","Damen Kostüm Marienkäfer Glückskäfer Ladybug","9,46%","15,15%"
"Amazon.de","iphone 7",23,"B01LSUYWO0","Apple iPhone 7 Smartphone (11,9 cm (4,7 Zoll), 32GB interner Speicher, iOS 10) matt-schwarz","47,82%","52,73%","B01N9VBVN1","Apple iPhone 7 SIM-Free Smartphone Matt Schwarz 32GB (Zertifiziert und Generalüberholt)","12,92%","10,23%","B01LSUYTJI","Apple iPhone 7 Smartphone (11,9 cm (4,7 Zoll), 128GB interner Speicher, iOS 10) matt schwarz","8,54%","9,34%"
"Amazon.de","monitor",24,"B074L3DLZF","BenQ GW2470HE 60,45 cm (23,8 Zoll) Monitor (1920x1080 Full HD, 2x HDMI, 4ms Reaktionszeit) schwarz","21,13%","23,65%","B014RKZ81O","Asus VS248HR 61 cm (24 Zoll) Monitor (VGA, DVI, HDMI, 1ms Reaktionszeit) schwarz","14,78%","17,66%","B01DMDKZTC","Samsung C24F396FHU 61 cm (24 Zoll) Curved Monitor (VGA, HDMI, 4ms Reaktionszeit, 1920 x 1080 Pixel) schwarz","7,04%","3,63%"
"Amazon.de","makita",25,"B01JIOGFD4","Makita Akku-Schlagbohrschrauber (2x Akku/Ladegerät im Transportkoffer, 170 W, 10.8 V) HP331DSAX3","14,58%","18,50%","B0042CWWS0","Makita B-43044 Bohrer Bit Set 66tlg. im MAKPAC","11,45%","9,25%","B0759BCVK9","Makita Akku-Bohrhammer (ohne Akku/Ladegerät, 480 W, 18 V) DHR171Z","6,58%","6,43%"
"Amazon.de","sodastream",26,"B06XGNM7R2","SodaStream CRYSTAL 2.0 Glaskaraffen Wassersprudler zum Sprudeln von Leitungswasser, mit spülmaschinenfester Glasflasche für Sprudelwasser. inkl. 1 Zylinder und 2 Glaskaraffen 0,6l; Farbe: Titan/Silber","47,69%","45,77%","B01MSZ58DO","SodaStream Easy Wassersprudler zum Sprudeln von Leitungswasser, macht aus Leitungswasser Sprudelwasser - ohne schleppen. mit 1 Zylinder und 1L PET Flasche (BPA frei); Farbe: schwarz","16,82%","14,99%","B06XGLVC5L","SodaStream CRYSTAL 2.0 Umsteiger Wassersprudler zum Sprudeln von Leitungswasser, mit spülmaschinenfester Glasflasche für Ihr Sprudelwasser! inkl. 1 Glaskaraffe 0,6l OHNE Zylinder; Farbe: Titan/Silber","8,36%","7,33%"
"Amazon.de","drucker",27,"B01HIH1PNS","HP Envy 4525 Multifunktionsdrucker (Fotodrucker, Scanner, Kopierer, HP Instant Ink ready, Airprint, ePrint, Duplex, WiFi Direct, 4800 x 1200 dpi) schwarz","28,03%","27,54%","B00MCDJ4UK","Epson WorkForce WF-2630WF Tintenstrahl-Multifunktionsgerät (Drucker, Scanner, kopieren, Fax, WiFi) schwarz","9,46%","8,25%","B01HIH1P7O","HP Deskjet 3636 Multifunktionsdrucker (WLAN Drucker, Scanner, Kopierer, HP Instant Ink Ready, AirPrint) weiß","9,19%","10,37%"
"Amazon.de","handy",28,"B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","26,03%","16,79%","B075CP646D","Nokia 105 Mobiltelefon (1,8 Zoll Farbdisplay, FM Radio, 4 MB ROM, DUAL-Sim), Version 2017 schwarz","13,11%","29,23%","B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","10,24%","7,69%"
"Amazon.de","wasserkocher",29,"B0019QLTMW","Philips HD4646/20  Serie Wasserkocher (1,5 Liter, 2400 Watt, Anti-Kalk), Silber/Schwarz","41,97%","56,22%","B009I4A1TE","WMF STELIO Wasserkocher, 1,2 l, 2400 W, Wasserstandsanzeige beleuchtet, Kalk Wasserfilter, cromargan matt/silber","9,84%","6,94%","B009DDPFX2","Clatronic WK 3462 Wasserkocher","6,34%","7,23%"
"Amazon.de","usb stick",30,"B008RDCEBK","Intenso Alu Line 32 GB USB-Stick USB 2.0 anthrazit","15,36%","18,02%","B00DQG9OZ2","SanDisk Ultra 32GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek","13,94%","14,05%","B005FYNSZA","SanDisk Cruzer Fit Z33 16GB USB-Stick, USB 2.0 schwarz","12,44%","12,77%"
"Amazon.de","playstation 4",31,"B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","27,44%","33,31%","B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","20,73%","30,76%","B01LQF9UKS","PlayStation 4 Pro - Konsole (1TB)","10,67%","4,87%"
"Amazon.de","toaster",32,"B007HMTKU0","Severin AT 2509 Automatik-Toaster (1400 Watt, bis zu 4 Brotscheiben) edelstahl","13,73%","15,55%","B019NBXPO4","TECHWOOD Doppelschlitz-Toaster, 700&nbsp;W","10,41%","14,71%","B01N9XBDTI","Philips HD2581/90 Toaster, integrierter Brötchenaufsatz, 8 Bräunungsstufen, schwarz","10,20%","10,64%"
"Amazon.de","ps4 controller",33,"B01GVQUX3U","PlayStation 4 - DualShock 4 Wireless Controller, schwarz (2016)","37,56%","56,03%","B01NBKW254","Nacon Revolution Pro PlayStation 4 Controller (PS4)","14,49%","4,49%","B01MQTRR0D","PlayStation 4 - DualShock 4 Wireless Controller, camouflage (2016)","7,19%","6,24%"
"Amazon.de","ssd",34,"B00P73B1E4","Samsung MZ-75E500B/EU 850 EVO interne SSD 500GB (6,4 cm (2,5 Zoll), SATA III) schwarz","23,16%","21,36%","B00P736UEU","Samsung MZ-75E250B/EU 850 EVO interne SSD 250GB (6,4 cm (2,5 Zoll), SATA III) schwarz","20,61%","21,12%","B01N6JQS8C","Kingston SSD A400 120GB Solid-State-Drive (2.5 Zoll , SATA 3)","14,06%","16,04%"
"Amazon.de","kostüm damen",35,"B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","22,07%","16,79%","B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","12,55%","12,28%","B00TIVPXDQ","Damen Kostüm Marienkäfer Glückskäfer Ladybug","8,06%","12,28%"
