"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.03.18 - 31.03.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","ps4 spiele",1,"B0787HCKD4","A Way Out - [PlayStation 4]","14,88%","11,72%","B0725Z5FMF","Far Cry 5 - Standard Edition - [PlayStation 4]","10,73%","11,89%","B077QH54QM","Secret of Mana [PlayStation 4]","4,34%","3,97%"
"Amazon.de","nintendo switch",2,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","45,14%","45,90%","B01M6ZGICT","Nintendo Switch Konsole Grau","19,16%","25,20%","B07BDZLS8B","Flashback 25th Anniversary [Nintendo Switch]","3,11%","2,44%"
"Amazon.de","ps4",3,"B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","22,76%","30,10%","B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","19,63%","35,75%","B00BIYAO3K","PlayStation 4 - Konsole (500GB)","9,49%","3,46%"
"Amazon.de","laptop",4,"B0751KQ28R","iOTA ONE 25,65cm (10,1 Zoll Full HD) 2-in-1 Detachable Notebook (Intel Atom Z8350, 2 GB RAM, 32 GB Speicher, Touchscreen, Deutsche Tastatur, Windows 10) schwarz","10,67%","11,64%","B071P6NG6K","HP 15-bw049ng 2CN88EA 39,6 cm (15,6 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 500 GB HDD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) schwarz","10,61%","17,77%","B076D9XDS1","Acer Aspire 5 (A515-51G-520Q) 39,6 cm (15,6 Zoll HD matt) Multimedia Notebook (Intel Core i5-7200U, 8 GB RAM, 256 GB SSD, NVIDIA GeForce 940MX (2 GB VRAM), Win 10) schwarz","6,31%","5,82%"
"Amazon.de","tablet",5,"B07889GC3S","Samsung Galaxy Tab A SM-T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, WiFi, Android 6.0) schwarz","21,92%","24,95%","B01M3015CT","Fire HD 10-Tablet mit Alexa Hands-free, 25,65 cm (10,1 Zoll) 1080p Full HD-Display, 32 GB, schwarz, mit Spezialangeboten","11,39%","13,20%","B01J90P010","Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten","10,55%","15,29%"
"Amazon.de","playmobil",6,"B00A8DGA8A","Playmobil 4169 - Osterkalender","9,69%","6,01%","B00IF1VVFO","Playmobil 5568 - Kinderspielplatz","7,94%","9,20%","B06W5XHWVT","Playmobil 9266 - Modernes Wohnhaus","4,36%","1,68%"
"Amazon.de","smartphone",7,"B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","15,10%","16,38%","B0777T9SW7","Nokia 2 Smartphone, 8MP Kamera, extra lange Akkulaufzeit, Pure Android, DUAL Sim, schwarz","5,69%","6,44%","B073WXLRPC","LG Q6 Smartphone (13MP Kamera, 32GB Speicher, Android 7.1, 13,97 cm (5,5 Zoll)) platinum","5,53%","3,34%"
"Amazon.de","radiowecker",8,"B01BP0O0JU","Philips AJ2000 Radiowecker (Digital UKW, 2x Weckzeiten, Sleep-Timer) weiß","19,96%","10,56%","B00QK8S8N2","AEG MRC 4142 Uhrenradio  Einschlafautomatik, 24 Stunden-LED-Anzeige","12,04%","18,01%","B018486Y7C","Karcher UR 1080 Uhrenradio (PLL-FM-Radio, Raumtemperaturanzeige, LED-Stimmungslicht, dimmbares Display, Dual-Alarm, Wochenend/Nap/Snooze-Funktion, Sleep-Timer) schwarz","10,84%","12,92%"
"Amazon.de","lego",9,"B075SVNY76","LEGO Creator 31071 - Forschungsdrohne Bauspielzeug","7,79%","10,38%","B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","7,67%","6,42%","B075GQ97SR","LEGO City 60181 - Starke Fahrzeuge Forsttraktor, Cooles Kinderspielzeug","7,15%","10,64%"
"Amazon.de","staubsauger",10,"B01MTF06KN","Philips beutelloser Staubsauger PowerPro Compact (AAA-Energie-Label, 650 W, 1,5 L Staubvolumen, integrierte Bürste, weiß) FC9332/09","29,13%","36,24%","B007MP7OP0","Siemens VSQ5X1230 extreme Silence Power Bodenstaubsauger Q5.0 (850 Watt, 4 Liter Staubbeutelvolumen, Hochleistungs-Hygienefilter) schwarz","8,98%","6,81%","B00NTR1PTG","Siemens VS06B1110 Bodenstaubsauger synchropower mit Beutel (700 Watt, EEK B, highPower Motor, powerSecure System) moonlight blue","7,61%","10,15%"
