Abteilung=[Amazon.de],Suchbegriff=[],ASINs oder Produkte eingeben=[],Auswertungsbereich=[Monatlich], Wird angezeigt=[01.04.18 - 30.04.18]
Abteilung,Suchbegriff,Suchfrequenz-Rang ,#1 der angeklickten ASINs,Produkttitel #1,Klickrate #1,Umsatzrate #1,#2 der angeklickten ASINs,Produkttitel #2,Klickrate #2,Umsatzrate #2,#3 der angeklickten ASINs,Produkttitel #3,Klickrate #3,Umsatzrate #3
Amazon.de,ps4 spiele,1,B01H1QQ8L0,God of War - Standard Edition - [Playstation 4],0.123955,0.094556,B0725Z5FMF,Far Cry 5 - Standard Edition - [PlayStation 4],0.101116,0.131328,B0787HCKD4,A Way Out - [PlayStation 4],0.064939,0.04107
Amazon.de,gasgrill,2,B01LYEDVT2,"Enders BBQ Gasgrill SAN DIEGO 3, Gas Grill 81166, 3 Edelstahl-Brenner stufenlos, kleiner Grillwagen mit Deckel, Thermometer, Warmhalterost, stabile Seitenablagen",0.28745,0.341313,B00VE1GL2U,"Clatronic GG 3590 Gasgrill 2 Brenner, 2 Heizzonen für individuelle Temperatursteuerung, stufenlose Temperatureinstellung, herausnehmbarer Fettauffangbehälter, Temperaturanzeige",0.125181,0.185328,B00B4EHBTE,Landmann 12901 Gas-Grillwagen Triton 2.0,0.052304,0.044788
Amazon.de,nintendo switch,3,B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,0.407554,0.432871,B01M6ZGICT,Nintendo Switch Konsole Grau,0.213995,0.275302,B07BC272SC,Super Smash Bros.  - [Nintendo Switch],0.036337,0.025966
Amazon.de,kaffeevollautomat,4,B00400OMU0,"De'Longhi Magnifica S ECAM 22.110.B Kaffeevollautomat (Direktwahltasten und Drehregler, Milchaufschäumdüse, Kegelmahlwerk 13 Stufen, Herausnehmbare Brühgruppe, 2-Tassen-Funktion) schwarz",0.262523,0.393536,B00INSX904,"Krups EA8108 Kaffeevollautomat (1450 Watt, 1,8 Liter, 15 bar, CappuccinoPlus-Düse, Dampfdüse) schwarz",0.138388,0.179975,B074QGDYVB,"Siemens EQ.6 plus s300 TE653501DE Kaffeevollautomat (1500 Watt, SensoFlow System, aromaDouble Shot, coffeeSelect Display, Keramik-Mahlwerk) silber",0.052799,0.019645
Amazon.de,smartphone,5,B01MU9R2EN,"Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black",0.109327,0.127556,B076CJK4WB,"HUAWEI Mate10 lite Dual-Sim Smartphone (14.97 cm (5.9 Zoll), 64 GB interner Speicher, 4 GB RAM, 16 MP + 2 MP Kamera, Android 7.0, EMUI 5.1) Aurora Blau",0.098546,0.047712,B01MXFV5D3,"Honor 6X Smartphone (13,97 cm (5,5 Zoll) Full HD Display, 32 GB Speicher, Android) grau",0.075924,0.076923
Amazon.de,ps4,6,B0774QFGQ1,"PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller",0.305042,0.504498,B01LQF9RDI,"PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]",0.141169,0.154423,B00BIYAO3K,PlayStation 4 - Konsole (500GB),0.101483,0.038981
Amazon.de,god of war ps4,7,B01H1QQ8L0,God of War - Standard Edition - [Playstation 4],0.763209,0.783129,B07987GRHN,God of War - Limited Edition - [PlayStation 4],0.081052,0.117484,B079944BRN,God of War - Collector’s Edition - [PlayStation 4],0.077881,0.059837
Amazon.de,staubsauger,8,B01MTF06KN,"Philips beutelloser Staubsauger PowerPro Compact (AAA-Energie-Label, 650 W, 1,5 L Staubvolumen, integrierte Bürste, weiß) FC9332/09",0.308385,0.338354,B074WDMPYG,"Bosch MoveOn Mini BGL25A100 Bodenstaubsauger (600 W, 3,5l Staubbeutelvolumen, 8m Aktionsradius) aqua pastel",0.137633,0.207085,B007MP7OP0,"Siemens VSQ5X1230 Q5.0 extreme Silence Power Bodenstaubsauger (850 Watt, 4 Liter Staubbeutelvolumen, Hochleistungs-Hygienefilter) schwarz",0.096967,0.086257
Amazon.de,laptop,9,B0751KQ28R,"iOTA ONE 25,65cm (10,1 Zoll Full HD) 2-in-1 Detachable Notebook (Intel Atom Z8350, 2 GB RAM, 32 GB Speicher, Touchscreen, Deutsche Tastatur, Windows 10) schwarz",0.23261,0.216612,B071P6NN7F,"HP 15-bs025ng 2BT32EA 39,6 cm (15,6 Zoll) Notebook (Intel Celeron N3060, 4GB RAM, 1TB HDD, Intel HD-Grafikkarte 400, FreeDOS 2.0) schwarz",0.077886,0.115635,B071P6NG6K,"HP 15-bw049ng 2CN88EA 39,6 cm (15,6 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 500 GB HDD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) schwarz",0.064971,0.091205
Amazon.de,tablet,10,B07889GC3S,"Samsung Galaxy Tab A SM-T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, WiFi, Android 6.0) schwarz",0.249059,0.304815,B01J90P010,"Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten",0.099591,0.104041,B06XX1NHLS,"HUAWEI 53018816 MediaPad M3 lite WiFi 25,6 cm (10,1 Zoll) Tablet-PC (Fingerabdrucksensor, QualcommTM MSM8940 Octa-Core Prozessor, 3 GB RAM, 32 GB interner Speicher, Android 7.0, EMUI 5.1) grau",0.08366,0.05718
