"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.05.18 - 31.05.18]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","pool",1,"B001IWNDDA","Intex Family Schwimmbecken, blau, 300 x 200 x 75 cm","23,58%","20,80%","B000O1B04U","Intex 56475NP - Aufblasbares Swim Center Family Lounge, 90 x 90 x 26 Zoll","8,94%","9,16%","B001O9C41O","Bestway Family Pool Blue Rectangular, 262x175x51cm","6,90%","16,10%"
"Amazon.de","nintendo switch",2,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","39,00%","34,80%","B01M6ZGICT","Nintendo Switch Konsole Grau","21,99%","25,28%","B07913DTK3","Donkey Kong Country Tropical Freeze - [Nintendo Switch]","5,54%","7,85%"
"Amazon.de","ps4 spiele",3,"B07BYMXH7S","Jurassic World Evolution - [PlayStation 4]","11,19%","7,74%","B01B68PSF6","Detroit: Become Human - [PlayStation 4]","10,24%","8,56%","B01H1QQ8L0","God of War - Standard Edition - [Playstation 4]","6,67%","4,25%"
"Amazon.de","ventilator",4,"B003KHJO6G","Honeywell HT-900E Kraftvoller und geräuscharmer Turbo-Ventilator","41,79%","56,31%","B00IAPEHMO","Dyson Cool AM07 Turmventilator mit Air Multiplier Technologie inkl. Fernbedienung/Energieeffizienter Ventilator mit Sleep-Timer Funktion","9,50%","1,86%","B006W40MRE","AEG VL 5606 Metall-Windmaschine, 40 cm Durchmesser, 3 Laufgeschwindigkeiten, Neigungswinkel verstellbar","7,11%","10,04%"
"Amazon.de","smartphone",5,"B01MXFV5D3","Honor 6X Smartphone (13,97 cm (5,5 Zoll) Full HD Display, 32 GB Speicher, Android) grau","13,15%","10,13%","B01MU9R2EN","Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black","10,42%","12,97%","B01CT6Q628","Samsung Galaxy J3 DUOS Smartphone (12,63 cm (5 Zoll) HD Super-AMOLED-Touchscreen, 8 GB, Android 5.1 Lollipop) schwarz","6,07%","11,36%"
"Amazon.de","birkenstock damen",6,"B01008R7DY","BIRKENSTOCK Classic Gizeh Birko-Flor Damen Zehentrenner","32,11%","27,92%","B01008R7LG","BIRKENSTOCK Classic Madrid Birko-Flor Damen Pantoletten","24,07%","19,67%","B01008R7FC","BIRKENSTOCK Classic Gizeh Birko-Flor Unisex-Erwachsene Zehentrenner","10,63%","15,22%"
"Amazon.de","gasgrill",7,"B00VE1GL2U","Clatronic GG 3590 Gasgrill 2 Brenner, 2 Heizzonen für individuelle Temperatursteuerung, stufenlose Temperatureinstellung, herausnehmbarer Fettauffangbehälter, Temperaturanzeige","16,28%","28,02%","B01LYEDVT2","Enders BBQ Gasgrill SAN DIEGO 3, Gas Grill 81166, 3 Edelstahl-Brenner stufenlos, kleiner Grillwagen mit Deckel, Thermometer, Warmhalterost, stabile Seitenablagen","11,40%","12,50%","B06W2MYYVS","El Fuego Gasgrill, Dayton 6 Plus 1, schwarz, 54 x 133 x 97 cm, AY4601","10,16%","10,78%"
"Amazon.de","ps4",8,"B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","24,94%","31,31%","B0774QFGQ1","PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller","21,67%","36,03%","B00BIYAO3K","PlayStation 4 - Konsole (500GB)","17,64%","6,97%"
"Amazon.de","tablet",9,"B07889GC3S","Samsung Galaxy Tab A SM-T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, WiFi, Android 6.0) schwarz","20,47%","26,71%","B01J90P010","Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten","16,73%","16,00%","B06XX1NHLS","HUAWEI MediaPad M3 lite WiFi 25,6 cm (10,1 Zoll) Tablet-PC (Fingerabdrucksensor, QualcommTM MSM8940 Octa-Core Prozessor, 3 GB RAM, 32 GB interner Speicher, Android 7.0, EMUI 5.1) grau","10,22%","7,98%"
"Amazon.de","bluetooth lautsprecher",10,"B01MTB55WH","Anker SoundCore 2 Bluetooth Lautsprecher mit Dual-Treiber besserem Bass, 24 St Spielzeit, 20 M Reichweite, IPX5 Wasserfest mit Eingebauten Mikrofon, Kabelloser Lautsprecher für iPhone, Samsung usw.(Schwarz)","15,64%","18,32%","B01HTH3C8S","Anker SoundCore Mini Super Mobiler Bluetooth Lautsprecher Speaker mit 15 Stunden Spielzeit, 20 Meter Bluetooth Reichweite und Starkem Bass (Schwarz)","14,66%","24,17%","B06XGTYJ4X","JBL Flip 3 Spritzwasserfester Tragbarer Bluetooth-Lautsprecher mit außerordentlich Kraftvollem Klang - Sonderausgabe - Schwarz","12,68%","9,84%"
