Abteilung=[Amazon.de],Suchbegriff=[],ASINs oder Produkte eingeben=[],Auswertungsbereich=[Monatlich], Wird angezeigt=[01.06.18 - 30.06.18]
Abteilung,Suchbegriff,Suchfrequenz-Rang ,#1 der angeklickten ASINs,Produkttitel #1,Klickrate #1,Umsatzrate #1,#2 der angeklickten ASINs,Produkttitel #2,Klickrate #2,Umsatzrate #2,#3 der angeklickten ASINs,Produkttitel #3,Klickrate #3,Umsatzrate #3
Amazon.de,nintendo switch,1,B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,0.357567,0.347075,B01M6ZGICT,Nintendo Switch Konsole Grau,0.263619,0.306778,B07DF2CMP4,"Pokémon: Let´s Go, Pikachu! - [Nintendo Switch]",0.056466,0.035283
Amazon.de,ps4 spiele,2,B07BYMXH7S,Jurassic World Evolution - [PlayStation 4],0.126121,0.092134,B01B68PSF6,Detroit: Become Human - [PlayStation 4],0.096535,0.050413,B072M5FJVY,Vampyr - [Playstation 4],0.060986,0.054759
Amazon.de,pool,3,B001IWNDDA,"Intex Family Schwimmbecken, blau, 300 x 200 x 75 cm",0.273825,0.271026,B000O1B04U,"Intex 56475NP - Aufblasbares Swim Center Family Lounge, 90 x 90 x 26 Zoll",0.09904,0.103005,B0007XC2JC,"Intex Aufstellpool Frame Pool Set Rondo, ohne Filterpumpe, blau, Ø 305 x 76 cm",0.076396,0.04725
Amazon.de,ventilator,4,B003KHJO6G,Honeywell HT-900E Kraftvoller und geräuscharmer Turbo-Ventilator,0.340635,0.415471,B00HFS3GRO,"Clatronic T-VL 3546 Tower-Ventilator 75° oszillierend, 3 Geschwindigkeitsstufen, 120 Minuten-Timer",0.114554,0.124282,B001UHOU2G,"AEG T-VL 5531 Tower-Ventilator, Höhe 75 cm, 3 Laufgeschwindigkeiten, 120 Minuten-Timer",0.094429,0.10089
Amazon.de,smartphone,5,B01MU9R2EN,"Huawei P8 Lite 2017 Smartphone (13.2 cm (5.2 Zoll) Full-HD Touchscreen, 16 GB, Android 7.0) black",0.181443,0.227103,B07BHDC9V6,"Huawei P20 Lite Smartphone (14.83 cm (5.84 Zoll), 64GB interner Speicher, 4GB RAM, 16 MP Plus 2 MP Kamera, Android 8.0, EMUI 8.0) Schwarz",0.085732,0.032762,B071FRMTHZ,"Huawei 51091RMB Y7 Smartphone (14 cm (5,5 Zoll) Display, 16 GB Speicher, Android 6.0) Grau",0.053882,0.090841
Amazon.de,fernseher,6,B0776X6B7W,"Samsung MU6179 127cm (50 Zoll) Flat Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)",0.119168,0.098177,B06XGS3Q4Y,"Samsung UE55MU6179U 55 Zoll Flat Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV), Schwarz",0.079156,0.042076,B01BDR9Q6W,Dyon Enter 32 Pro 80 cm (32 Zoll) Fernseher (Triple Tuner),0.068594,0.103086
Amazon.de,laptop,7,B072PRPGQC,"HP 17-ak015ng 1UQ12EA 43,9 cm (17,3 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 500 GB HDD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) Schwarz",0.14453,0.208791,B0751KQ28R,"Iota One 25,65cm (10,1 Zoll Full HD) 2-in-1 Detachable Notebook (Intel Atom Z8350, 2 GB RAM, 32 GB Speicher, Touchscreen, Deutsche Tastatur, Windows 10) Schwarz",0.074171,0.089482,B0718YXL3S,"Microsoft Surface Laptop 34,29 cm (13,5 Zoll) (Intel Core i5, 128GB Festplatte, 4GB RAM, Intel HD Graphics 620, Win 10 S) Platin Grau",0.061085,0.010989
Amazon.de,ps4,8,B0774QFGQ1,"PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller",0.259095,0.434172,B01LQF9RDI,"PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]",0.201434,0.22855,B00BIYAO3K,PlayStation 4 - Konsole (500GB),0.135399,0.051775
Amazon.de,tablet,9,B07889GC3S,"Samsung Galaxy Tab A SM-T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, WiFi, Android 6.0) schwarz",0.226121,0.325809,B01J90P010,"Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten",0.140675,0.15128,B06XX1NHLS,"HUAWEI MediaPad M3 lite WiFi 25,6 cm (10,1 Zoll) Tablet-PC (Fingerabdrucksensor, QualcommTM MSM8940 Octa-Core Prozessor, 3 GB RAM, 32 GB interner Speicher, Android 7.0, EMUI 5.1) grau",0.101841,0.086253
Amazon.de,bluetooth lautsprecher,10,B01MTB55WH,"Anker SoundCore 2 Bluetooth Lautsprecher mit Dual-Treiber besserem Bass, 24h Spielzeit, 20m Reichweite, IPX5 Wasserfest mit Eingebauten Mikrofon, Kabelloser Lautsprecher für iPhone, Samsung usw.(Schwarz)",0.161256,0.192805,B01HTH3C8S,"Anker SoundCore Mini Super Mobiler Bluetooth Lautsprecher Speaker mit 15 Stunden Spielzeit, 20 Meter Bluetooth Reichweite und Starkem Bass (Schwarz)",0.10295,0.180064,B06XGTYJ4X,JBL Flip 3 Spritzwasserfester Tragbarer Bluetooth-Lautsprecher mit Außerordentlich Kraftvollem Klang - Sonderausgabe - Schwarz,0.096573,0.062582
