Abteilung=[Amazon.de],Suchbegriff=[],ASINs oder Produkte eingeben=[],Auswertungsbereich=[Monatlich], Wird angezeigt=[01.09.18 - 30.09.18]
Abteilung,Suchbegriff,Suchfrequenz-Rang ,#1 der angeklickten ASINs,Produkttitel #1,Klickrate #1,Umsatzrate #1,#2 der angeklickten ASINs,Produkttitel #2,Klickrate #2,Umsatzrate #2,#3 der angeklickten ASINs,Produkttitel #3,Klickrate #3,Umsatzrate #3
Amazon.de,nintendo switch,1,B01N5OPMJW,Nintendo Switch Konsole Neon-Rot/Neon-Blau,0.520027,0.471826,B01M6ZGICT,Nintendo Switch Konsole Grau,0.138968,0.135521,B06XZTWTYH,"Nintendo Switch Pokémon: Let’s Go, Pikachu! Bundle",0.034702,0.012839
Amazon.de,ps4 spiele,2,B01H1QQIGU,Marvel’s Spider-Man - Standard Edition - [PlayStation 4],0.113238,0.099777,B07BGLMBLM,Shadow of the Tomb Raider - [PlayStation 4],0.099533,0.131422,B01M6Y1Y4A,Red Dead Redemption 2 [PlayStation 4],0.055058,0.058824
Amazon.de,fifa 19,3,B07DMCFY6P,FIFA 19 - Standard Edition - [PlayStation 4],0.641109,0.692131,B07DM391G1,FIFA 19 - Champions Edition - [PlayStation 4],0.205607,0.221986,B07DGJRMPL,FIFA 19 - Ultimate Edition | PS4 Download Code - deutsches Konto,0.039583,0.014554
Amazon.de,laptop,4,B072C2G4LN,"HP 15-bw050ng 2CN90EA 39,6 cm (15,6 Zoll) Laptop (AMD Dual-Core E2-9000e, 4 GB RAM, 128 GB SSD, AMD Radeon R2-Grafikkarte, FreeDOS 2.0) schwarz",0.174073,0.21256,B0751KQ28R,"iOTA ONE 25,65cm (10,1 Zoll Full HD) 2-in-1 Detachable Notebook (Intel Atom Z8350, 2 GB RAM, 32 GB Speicher, Touchscreen, Deutsche Tastatur, Windows 10) schwarz",0.056611,0.070048,B0751KQ6FZ,"iOTA Slim 35,6cm (14,0 Zoll FHD) Laptop (Intel Celeron, 2 GB RAM, 32 GB Speicher, Deutsche Tastatur, Windows 10) silber",0.052431,0.097826
Amazon.de,fernseher,5,B07CZ1YWVG,Dyon Enter 32 Pro-X 80 cm (32 Zoll) Fernseher (Triple Tuner) [Energieklasse A+],0.165291,0.223656,B0764HFT57,"DYON Enter 40 Pro-X 101,6 cm (40 Zoll) Fernseher (Full-HD, Triple Tuner, DVB-T2 H.265 /HEVC)",0.075097,0.101075,B0747W1GS4,"Samsung MU6199 138 cm (55 Zoll) Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)",0.043686,0.022222
Amazon.de,ps4,6,B0774QFGQ1,"PlayStation 4 - Konsole (500GB, schwarz, E-Chassis) inkl. 2. DualShock Controller",0.221407,0.276632,B07GK6L6XS,"PlayStation 4 - Konsole (1TB, schwarz, slim) inkl. FIFA 19 + 2 DualShock Controller",0.132525,0.298969,B00BIYAO3K,PlayStation 4 - Konsole (500GB),0.09619,0.030928
Amazon.de,adventskalender,7,3742300954,Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken,0.135416,0.13,B06XWZFQ12,Schmidt Spiele Bibi Blocksberg Adventskalender,0.11067,0.155,3868829016,Am Arsch vorbei geht auch ein Weg: Adventskalender: Der Adventskalender gegen Geschenke-Wahn und Plätzchen-Irrsinn,0.041308,0.05375
Amazon.de,smartphone,8,B07BHDC9V6,"HUAWEI P20 lite Smartphone (14.83 cm (5.84 Zoll), 64GB interner Speicher, 4GB RAM, 16 MP Plus 2 MP Kamera, Android 8.0, EMUI 8.0) Schwarz",0.118168,0.069989,B0725WZK1N,"Samsung Galaxy J5 DUOS Smartphone (13,18 cm (5,2 Zoll) Touch-Display, 16 GB Speicher, Android 7.0) schwarz",0.104821,0.158006,B07215Q3Y1,"Samsung Galaxy J3 Smartphone (12,67 cm (5 Zoll) Display, 16 GB Speicher, Android 7.0) schwarz",0.062523,0.137858
Amazon.de,tablet,9,B07889GC3S,"Samsung Galaxy Tab A T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, Wifi, Android 7.0) schwarz",0.197622,0.277861,B01J90P010,"Fire 7-Tablet mit Alexa, 17,7 cm (7 Zoll) Display, 8 GB (Schwarz), mit Spezialangeboten",0.110089,0.11107,B06XX1NHLS,"Huawei MediaPad M3 Lite Wifi Tablet-PC (25,6 cm, 10,1 Zoll, Fingerabdrucksensor, QualcommTM MSM8940 Octa-Core Prozessor, 3 GB RAM, 32 GB interner Speicher, Android 7.0, EMUI 5.1) grau",0.089351,0.072924
Amazon.de,lego,10,B00PY3EYQO,Lego 10698 - Classic Große Bausteine-Box,0.126238,0.083213,B075H28M6K,"LEGO City 60183 - Starke Fahrzeuge Schwerlasttransporter, Beliebtes Kinderspielzeug",0.057592,0.083213,B0765BRXTF,"LEGO 31084 Piraten-Achterbahn, bunt",0.046228,0.024135
Amazon.de,staubsauger,11,B01MTF06KN,"Philips beutelloser Staubsauger PowerPro Compact (AAA-Energie-Label, 650 W, 1,5 L Staubvolumen, integrierte Bürste, weiß) FC9332/09",0.229827,0.237849,B00NTR1PTG,"Siemens VS06B1110 Bodenstaubsauger synchropower mit Beutel (700 Watt, EEK B, highPower Motor, powerSecure System) moonlight blue",0.128003,0.206468,B07C3NFCYC,"AmazonBasics Beutelloser Zylinder-Staubsauger, 1,5  l, 700 W",0.092501,0.079985
Amazon.de,kopfhörer,12,B00I3LUWQA,Sony MDRZX310 Lifestyle Kopfhörer schwarz,0.241927,0.274232,B00CBU0IV8,Panasonic  RP-HJE125-KI n-Ear-Kopfhörer schwarz,0.10158,0.236804,B0756BRVXJ,"Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Nexus, HTC und mehr",0.077733,0.069818
Amazon.de,kaffeevollautomat,13,B00400OMU0,DeLonghi Magnifica S ECAM 22.110.B Kaffeevollautomat | Direktwahltasten und Drehregler | Milchaufschäumdüse | leises Kegelmahlwerk 13 Stufen | Herausnehmbare Brühgruppe | 2-Tassen-Funktion | schwarz,0.252826,0.395819,B00INSX904,"Krups EA8108 Kaffeevollautomat (1450 Watt, 1,8 Liter Wassertank, CappuccinoPlus-Düse, 2-Tassen-Funktion, 15 bar) schwarz",0.122389,0.148348,B074QGDYVB,"Siemens EQ.6 Plus s300 TE653501DE Kaffeevollautomat (1500 Watt, Keramik-mahlwerk, Touch-Sensor-Direktwahltasten, personalisiertes Getränk) silber",0.087919,0.039784
Amazon.de,playmobil,14,B0766D7R6S,Playmobil 9360 - SEK-Truck mit Licht und Sound Spiel,0.048968,0.042527,B0077QT4VG,Playmobil 5167 - Mein Neues Mitnehm-Puppenhaus,0.043201,0.025016,B00IF1VVFO,Playmobil 5568 - Kinderspielplatz,0.038797,0.025641
Amazon.de,kaffeemaschine,15,B000ALVUM6,"Philips HD7546/20 Gaia Filter-Kaffeemaschine mit Thermo-Kanne, schwarz/metall",0.118423,0.209258,B00JM0BYDQ,"Melitta Easy 1010-02, Filterkaffeemaschine mit Glaskanne, Kompaktes Design, Schwarz",0.111103,0.226513,B00400OMU0,DeLonghi Magnifica S ECAM 22.110.B Kaffeevollautomat | Direktwahltasten und Drehregler | Milchaufschäumdüse | leises Kegelmahlwerk 13 Stufen | Herausnehmbare Brühgruppe | 2-Tassen-Funktion | schwarz,0.090647,0.035059
