"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.01.19 - 31.01.19]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","bluetooth kopfhörer",1,"B07J694TB1","Bluetooth Kopfhörer, ENACFIRE E18 Bluetooth Kopfhörer in Ear Bluetooth 5.0 Headset Stereo-Minikopfhörer Sport Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen und Integriertem Mikrofon","11,54%","12,99%","B0756BRVXJ","Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Huawei, HTC und mehr","8,16%","15,71%","B07LBVBQ5J","CYQBD Bluetooth Kopfhörer,Noise Cancelling Headset V5.0 Stereo-kopfhörer Sport bluetooth kopfhörer in Ear mit MiniLadekästchen und Integriertem Mikrofon,kopfhörer bloothooth kabellos","4,56%","0,30%"
"Amazon.de","nintendo switch",2,"B01M6ZGICT","Nintendo Switch Konsole Grau","27,80%","27,75%","B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","24,32%","22,92%","B07HCVBGBS","Nintendo Switch Super Smash Bros. Ultimate-Edition","9,19%","6,12%"
"Amazon.de","kopfhörer",3,"B0736SCQ4X","KLIM Fusion Audio Kopfhörer - Langlebig + 5 Jahre Garantie - Innovativ: In-Ear-Kopfhörer mit Memory Foam 2019 Version Schwarz","8,41%","20,91%","B07LBVBQ5J","CYQBD Bluetooth Kopfhörer,Noise Cancelling Headset V5.0 Stereo-kopfhörer Sport bluetooth kopfhörer in Ear mit MiniLadekästchen und Integriertem Mikrofon,kopfhörer bloothooth kabellos","6,81%","0,02%","B00I3LUWQA","Sony MDRZX310 Lifestyle Kopfhörer schwarz","5,97%","10,31%"
"Amazon.de","harry potter",4,"B00JGV1JW2","Harry Potter und der Stein der Weisen [dt./OV]","10,70%","2,25%","B00IMZJQ4Q","Harry Potter und der Stein der Weisen [dt./OV]","10,48%","0,18%","B00RYDC4YQ","Harry Potter und der Orden des Phönix [dt./OV]","5,25%","0,00%"
"Amazon.de","ps4 spiele",5,"B01M6Y1Y4A","Red Dead Redemption 2 [PlayStation 4]","7,42%","10,30%","B01B68PSF6","Detroit: Become Human - [PlayStation 4]","4,85%","4,93%","B01H1QQIGU","Marvel’s Spider-Man - Standard Edition - [PlayStation 4]","4,19%","5,11%"
"Amazon.de","smartwatch",6,"B01LF0T51I","Samsung SM-R760NDAADBT Gear S3 frontier Smartwatch (3,3 cm (1,3 Zoll) Display, NFC, Bluetooth, WLAN, Tizen OS, mit Silikon-Armband)","12,91%","9,26%","B01G8K3P7K","YAMAY Bluetooth Smartwatch Fitness Uhr Intelligente Armbanduhr Fitness Tracker Smart Watch Sport Uhr mit Kamera Schrittzähler Schlaftracker Romte Capture Kompatibel mit Android Smartphone","12,55%","15,43%","B07BXWVL8X","Willful Fitness Armband mit Pulsmesser,Wasserdicht IP68 Fitness Tracker Farbbildschirm Aktivitätstracker Pulsuhren Schrittzähler Uhr Smartwatch für Damen Herren","4,54%","9,45%"
"Amazon.de","laptop",7,"B0796FC3Y1","HP (15,6 Zoll) Notebook (AMD E2-9000e 2x2.00 GHz, 4GB DDR4, 500GB S-ATA HDD, DVD±RW, Radeon R2, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10 Prof. 64 Bit) #5579","14,93%","18,65%","B07D5H84NL","14.1 Vollständiger HD Windows 10 Laptop - 4GB RAM 32GB Speicher, T90B+ Pro Modell Notebook, Intel 64-bit USB 3.0, 5GHz W-LAN 2X W-LAN Geschwindigkeiten, unterstützt 256GB tf-Karte und 1TB HDD","10,52%","10,22%","B076Q88M8S","HKC Y11CC 29,5 cm (11,6 Zoll) Convertible Notebook mit Tourchscreen (Intel Cherry Trail 1.44 GHz, 2 GB RAM, 32 GB eMMC, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10) Navy blau","6,39%","6,25%"
"Amazon.de","alexa",8,"B06ZXQV6P8","Amazon Echo (2. Gen.), Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff","20,47%","25,10%","B0792HCFTG","Das neue Echo Dot (3. Gen.) Intelligenter Lautsprecher mit Alexa, Anthrazit Stoff","14,83%","14,40%","B01DFKBG54","Amazon Echo Dot (2. Gen.) Intelligenter Lautsprecher mit Alexa, Schwarz","12,87%","6,87%"
"Amazon.de","wasserkocher",9,"B0019QLTMW","Philips HD4646/20  Serie Wasserkocher (1,5 Liter, 2400 Watt, Anti-Kalk), Silber/Schwarz","13,98%","21,44%","B075FC8ZJ3","Philips HD9350/90 Wasserkocher (2200 Watt, 1.7 Liter, Edelstahl)","8,93%","11,53%","B009I4A1TE","WMF Stelio Wasserkocher, 1,2 l, 2400 W, Wasserstandsanzeige beleuchtet, Kalk Wasserfilter, cromargan matt/silber","5,35%","5,95%"
"Amazon.de","faschingskostüme damen",10,"B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","9,37%","8,84%","B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","6,51%","7,05%","B07KK1GXCR","Malloom® Damen Schmetterling Drucken Ärmellos Kleid Jahrgang Swing Spitzenkleid Frauen Schmetterling Flügel Schal Schals Damen Nymphe Pixie Poncho Kostüm Zubehör Bluse Rock","5,45%","6,36%"
"Amazon.de","ps4",11,"B07HHPX4N1","PlayStation 4  - Konsole (500GB, schwarz, slim, F-Chassis) inkl. 2 DualShock 4 Controller","33,06%","45,55%","B07HNR4ZZD","PlayStation4  - Konsole (500GB, schwarz, slim)","9,63%","12,28%","B01LQF9RDI","PlayStation 4 - Konsole (500GB, schwarz,slim) [CUH-2016A]","7,01%","6,82%"
"Amazon.de","paw patrol",12,"B01H0VJCNM","Paw Patrol - Staffel 2 [dt./OV]","12,89%","2,35%","B01H0V27KW","Paw Patrol - Staffel 2 [dt./OV]","11,69%","0,39%","B0758ZH19H","Paw Patrol - Staffel 3, Teil 1 [dt./OV]","8,45%","0,87%"
"Amazon.de","tablet",13,"B07889GC3S","Samsung Galaxy Tab A T580 25,54 cm (10,1 Zoll) Tablet-PC (1,6 GHz Octa-Core, 2GB RAM, 32GB eMMC, Wifi, Android 6.0) schwarz","17,01%","20,00%","B01M3015CT","Fire HD 10-Tablet mit Alexa Hands-free, 25,65 cm (10,1 Zoll) 1080p Full HD-Display, 32 GB, schwarz, mit Spezialangeboten","8,64%","6,91%","B079VQD56M","Lenovo Tab10 25,5 cm (10,1 Zoll HD IPS Touch) Tablet-PC (Qualcomm Snapdragon APQ8009, 1 GB RAM, 16 GB eMCP, Wi-Fi, Android 6.0) schwarz","6,78%","7,95%"
"Amazon.de","lego",14,"B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","8,27%","4,24%","B07FP2GRWM","Lego 42089 Technic Rennboot, bunt","4,58%","6,32%","B0792RDN2V","LEGO Harry Potter – Die große Halle von Hogwarts (75954) Bauset (878 Teile)","4,30%","2,02%"
"Amazon.de","kalender 2019",15,"B07H3122QD","Odernichtoderdoch Taschenkalender 2019 | Terminsammler | rosa","11,07%","9,80%","B07F1THKKG","Boxclever Press Lebensplaner 2019. A5 Personal Organizer, Terminplaner 2019. Terminkalender mit Wochenansicht und zusätzlichen Funktionen. Ab sofort nutzbar mit Laufzeit bis Dezember 2019","9,99%","10,80%","B07H8Q46GR","Odernichtoderdoch Kalender 2019 | Auf ins nächste Abenteuer | A5","5,33%","4,57%"
"Amazon.de","usb stick",16,"B00DQGBYDC","SanDisk Ultra 64GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek","17,68%","20,54%","B00DQG9OZ2","SanDisk Ultra 32GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek","6,64%","9,85%","B00P8XQPY4","SanDisk Ultra 128GB USB-Flash-Laufwerk USB 3.0 bis zu 100MB/Sek","6,18%","5,69%"
"Amazon.de","fernseher",17,"B07B6JMD2Q","Samsung NU7179 138 cm (55 Zoll) LED Fernseher (Ultra HD, HDR, Triple Tuner, Smart TV)","15,02%","10,90%","B07CZ1YWVG","Dyon Enter 32 Pro-X 80 cm (32 Zoll) Fernseher (Triple Tuner)","14,17%","19,23%","B075R48B14","Dyon Live 22 Pro 54,6 cm (21,5 Zoll) Fernseher (Full-HD, Triple Tuner, DVB-T2 H.265 /HEVC)","6,20%","10,53%"
