Abteilung,Suchbegriff,Suchhäufigkeit,ASIN,Nr. 1 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 2 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil,ASIN,Nr. 3 der geklickten Titel,Klickfreigabe,Umwandlungs-Anteil
Amazon.de,adventskalender,100,B00F95UZS8,"Intersnack Snack Adventskalender, 1er Pack (1 x 685 g)","3,9","1,39",B00J3I6CPC,"Smart Jewel Schmuck-Adventskalender ""Frohe Weihnachten"" 889005312","3,58","0,72",B007TPO6OA,Gib diesem Adventskalender den Rest!,"2,87","1,38"
Amazon.de,adele,"99,99",B00L98V4UW,25,"84,07","8,76",B004AB2JVI,21,"7,24","6,15",B000XGDO04,19,"4,72","4,96"
Amazon.de,kindle,"99,99",B00QJDO0QC,"Der neue Kindle Paperwhite, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN - mit Spezialangeboten","37,39","2,04",B00JG8GBDM,"Kindle Paperwhite (6. Generation), 15 cm (6 Zoll) hochauflösendes Display (212 ppi) mit integrierter Beleuchtung, WLAN","15,4","9,43",B00KDRUCJY,"Kindle, 15,2 cm (6 Zoll) Touchscreen ohne Spiegeleffekte, WLAN (Schwarz) - mit Spezialangeboten","11,52","2,79"
Amazon.de,tablet,"99,99",B00ZDWLEEG,"Fire, 17,7 cm (7 Zoll) Display, WLAN, 8 GB - mit Spezialangeboten","42,77","0,7",B00JXALVGK,"Logitech UltraThin Folio für Samsung Galaxy Tab 4 25,7 cm (10,1 Zoll) (QWERTZ, deutsches Tastaturlayout) schwarz","17,16","16,49",B00J4IC1RO,"Lenovo A10-70 25,7 cm (10,1 Zoll HD-IPS) Tablet (ARM MTK 8121 QC, 1,3GHz, 1GB RAM, 16GB eMMC, GPS, Android 4.2) midnight blau","4,47","0,75"
Amazon.de,adele 25,"99,98",B00L98V4UW,25,"93,6","14,16",B004AB2JVI,21,"1,7","1,07",B000XGDO04,19,"1,5","1,81"
Amazon.de,adventskalender für erwachsene,"99,98",B00MBK6HQS,,"4,48","11,16",3869135093,"Apfel, Zimt und Todeshauch 2015 - Krimi-Adventskalender","4,4","1,32",B00F95UZS8,"Intersnack Snack Adventskalender, 1er Pack (1 x 685 g)","4,05","0,76"
Amazon.de,adventskalender kinder,"99,98",3473442917,Wieso? Weshalb? Warum? Mini-Bilderspaß: Wieso? Weshalb? Warum? Adventskalender,"4,99","3,3",3941118609,Leo Lausemaus 24 Adventsgeschichten: Adventsbox (Lingoli),"3,24","1,57",B00S5R2WPQ,Kosmos 698751 - Magic Adventskalender 2015,"3,2","1,24"
Amazon.de,fallout 4,"99,98",B00YSOD3RG,Fallout 4 Uncut - [PlayStation 4],"38,4","6,59",B00YSOCTQW,Fallout 4 Uncut [AT-PEGI] - [PC],"19,6","13,27",B00YSOCGCO,Fallout 4 Uncut - [PC],"8,66","4,31"
Amazon.de,fire tv stick,"99,98",B00KAKPZYG,Fire TV Stick,"72,41","6,11",B010EGFSSS,Neu - Fire TV Stick mit Sprachfernbedienung,"14,96","6,08",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"8,05","11,5"
Amazon.de,iphone 6 hülle,"99,98",B00OZLO790,mumbi Schutzhülle iPhone 6 6s Hülle,"33,57","10,62",B00PK7U52Q,mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss,"22,04","5,87",B00PHV567Y,mumbi TPU Schutzhülle iPhone 6 6s Hülle transparent weiss,"20,21","4,89"
Amazon.de,lg g4 hülle,"99,98",B00TQNXDCY,mumbi Schutzhülle LG G4 Hülle,"24,48","10,92",B00TQO0U2E,mumbi Schutzhülle LG G4 Hülle transparent weiss,"23,81","7,95",B00TQNXKOA,mumbi Schutzhülle LG G4 Hülle transparent schwarz,"9,9","3,09"
Amazon.de,minions,"99,98",B01076V78K,Minions,"34,65","4,69",B01076V6T0,Minions [Blu-ray],"10,34","2,66",B01076V70I,Minions Box-Set [3 DVDs],"3,17","2,05"
Amazon.de,tiptoi,"99,98",B00V8K81AM,Ravensburger 00507 - tiptoi - Starterset mit Stift und Buch - Wieso? Weshalb? Warum? Entdecke den Bauernhof,"8,91","1,2",B00V8KFAHY,Ravensburger 00700 - tiptoi - Stift mit Player,"7,33","1,46",3473435147,tiptoi® Bilderbuch: tiptoi® Meine schönsten Kinderlieder,"6,23","2,73"
Amazon.de,adventskalender männer,"99,97",B00F95UZS8,"Intersnack Snack Adventskalender, 1er Pack (1 x 685 g)","9,35","2,31",B00Y8PXD6G,"Wera Werkzeug-Adventskalender 2015, 05135996001","7,79","1,99",3789397660,Survival - Der Männer-Advents-Kalender,"7,44","9,03"
Amazon.de,eiskönigin,"99,97",B00SMD9M6U,,"7,38",0,B00GSQLGCQ,Die Eiskönigin - Völlig Unverfroren,"5,69","1,88",B00I5PUC00,"Mattel Disney Princess BDK37 - Die Eiskönigin Königlichen Schwestern, 2 Puppen im Set","4,2","1,88"
Amazon.de,fire tv,"99,97",B00UH2K93O,Das neue Amazon Fire TV mit 4K Ultra HD,"49,16","40,8",B00KAKPZYG,Fire TV Stick,"28,4","0,53",B00KQEG1GC,"Amazon Fire TV, Zertifiziert und generalüberholt","8,68","31,55"
Amazon.de,helene fischer weihnachten,"99,97",B0167P9XCM,"Weihnachten (2CD, mit dem Royal Philharmonic Orchestra)","87,07","14,52",B0167P9X22,"Weihnachten - Live aus der Hofburg Wien (DVD, mit dem Royal Philharmonic Orchestra)","4,14","11,5",B0167P9SFY,"Weihnachten (Deluxe Edt  2CD + DVD, mit dem Royal Philharmonic Orchestra)","2,88","6,78"
Amazon.de,huawei p8 lite hülle,"99,97",B00WIK6MRU,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent weiss,"29,79","19,87",B00WIAS0GG,mumbi TPU Schutzhülle Huawei P8 Lite Hülle,"29,1","10,05",B00WIJPV5U,mumbi TPU Schutzhülle Huawei P8 Lite Hülle transparent schwarz,"27,86","9,28"
Amazon.de,star wars,"99,97",B011T11T8A,Star Wars - Complete Saga [Blu-ray],"20,85","3,73",B015HD3OXO,Star Wars Battlefront - Steelbook Edition (exklusiv bei Amazon.de) - [PlayStation 4],"13,57","0,32",B00E9NC0HA,"Star Wars - Trilogie, Episode IV-VI [3 DVDs]","4,36","1,85"
