"Abteilung=[Amazon.de]","Suchbegriff=[]","ASINs oder Produkte eingeben=[]","Auswertungsbereich=[Monatlich]"," Wird angezeigt=[01.02.19 - 28.02.19]"
"Abteilung","Suchbegriff","Suchfrequenz-Rang ","#1 der angeklickten ASINs","Produkttitel #1","Klickrate #1","Umsatzrate #1","#2 der angeklickten ASINs","Produkttitel #2","Klickrate #2","Umsatzrate #2","#3 der angeklickten ASINs","Produkttitel #3","Klickrate #3","Umsatzrate #3"
"Amazon.de","bluetooth kopfhörer",1,"B07M6PHXB5","CYQBD Bluetooth Kopfhörer,Noise Cancelling Headset V5.0 Stereo-kopfhörer Sport Bluetooth kopfhörer in Ear mit MiniLadekästchen und Integriertem Mikrofon,kopfhörer bloothooth kabellos","9,38%","0,20%","B0756BRVXJ","Anker Bluetooth Kopfhörer SoundBuds Flow in Ear magnetisches Headset, mit Wasserschutzklasse IPX5/7-Stunden-Spielzeit/Mikrofon, federleicht für iPhone, iPad, Samsung, Huawei, HTC und mehr","7,86%","14,63%","B07J694TB1","Bluetooth Kopfhörer, ENACFIRE E18 Bluetooth Kopfhörer in Ear Bluetooth 5.0 Headset Stereo-Minikopfhörer Sport Kabellose Bluetooth Kopfhörer mit Portable Mini Ladekästchen und Integriertem Mikrofon","7,70%","8,35%"
"Amazon.de","faschingskostüme damen",2,"B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","9,79%","10,22%","B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","7,42%","7,99%","B00PC6WI7K","Erdbeerkostüm rot-schwarz für Erwachsene | Einheitsgröße | Einteiler Obst Kostüm mit Hut | Frucht Kostüm Unisex Faschingskostüm | Erdbeer Verkleidung","3,44%","6,08%"
"Amazon.de","kostüm damen",3,"B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","8,18%","10,68%","B003BREXKC","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: S, 28864","6,65%","6,83%","B0772S777D","ABYED® Jumpsuit Tier Karton Fasching Halloween Kostüm Sleepsuit Cosplay Fleece-Overall Pyjama Schlafanzug Erwachsene Unisex Lounge","3,59%","4,14%"
"Amazon.de","kopfhörer",4,"B07M6PHXB5","CYQBD Bluetooth Kopfhörer,Noise Cancelling Headset V5.0 Stereo-kopfhörer Sport Bluetooth kopfhörer in Ear mit MiniLadekästchen und Integriertem Mikrofon,kopfhörer bloothooth kabellos","14,68%","0,08%","B0736SCQ4X","KLIM Fusion Audio Kopfhörer - Langlebig + 5 Jahre Garantie - Innovativ: In-Ear-Kopfhörer mit Memory Foam [ Neue 2019 Version ] Schwarz","7,27%","16,75%","B00I3LUWQA","Sony MDRZX310 Lifestyle Kopfhörer schwarz","6,65%","10,39%"
"Amazon.de","nintendo switch",5,"B01N5OPMJW","Nintendo Switch Konsole Neon-Rot/Neon-Blau","44,10%","44,28%","B01M6ZGICT","Nintendo Switch Konsole Grau","12,47%","14,34%","B07HCVBGBS","Nintendo Switch Super Smash Bros. Ultimate-Edition","9,88%","7,69%"
"Amazon.de","valentinstag geschenk für ihn",6,"B01MQWIKU1","Sex Gutscheine mit verschiedenen Stellungen für Paare (für sie & ihn) ❤️ Liebesgutscheine/Sexy Love Coupons für Freund & Freundin, Männer & Frauen - Lustige Witzige Geschenke/Valentinstag Geschenk","11,29%","9,01%","B016QBV68Q","Schlummerlicht24 Led Unendlichkeitszeichen mit Namen Liebe Liebesbeweise zur Hochzeit Verlobung Jahrestag Hochzeitsgeschenke Wohnzimmer Schlafzimmer Freundin Partner Geschenk","6,79%","8,82%",3868837124,"Was ich an dir liebe: Eine originelle Liebeserklärung zum Ausfüllen und Verschenken","5,99%","7,90%"
"Amazon.de","harry potter",7,"B00JGV1JW2","Harry Potter und der Stein der Weisen [dt./OV]","18,68%","1,70%","B00IMZJQ4Q","Harry Potter und der Stein der Weisen [dt./OV]","14,33%","0,00%","B00RYENBQK","Harry Potter und der Orden des Phönix [dt./OV]","4,33%","0,18%"
"Amazon.de","valentinstag geschenk für sie",8,"B00GL06UZW","VIP-LASER 3D Glas Kristall Quader XL Herz mit zwei Wunschnamen + Datum im Hochformat, Beleuchtung:mit Color Leuchtsockel 5 LED Silber","9,42%","13,97%","B01MQWIKU1","Sex Gutscheine mit verschiedenen Stellungen für Paare (für sie & ihn) ❤️ Liebesgutscheine/Sexy Love Coupons für Freund & Freundin, Männer & Frauen - Lustige Witzige Geschenke/Valentinstag Geschenk","8,62%","5,19%","B016QBV68Q","Schlummerlicht24 Led Unendlichkeitszeichen mit Namen Liebe Liebesbeweise zur Hochzeit Verlobung Jahrestag Hochzeitsgeschenke Wohnzimmer Schlafzimmer Freundin Partner Geschenk","6,88%","8,05%"
"Amazon.de","ps4 spiele",9,"B01M6Y1Y4A","Red Dead Redemption 2 [PlayStation 4]","5,92%","7,83%","B07DPBCXG7","Resident Evil 2 - 100% UNCUT [PlayStation 4 ]","4,62%","3,54%","B07DMBYTNG","Assassin's Creed Odyssey - Standard Edition - [PlayStation 4]","4,57%","6,44%"
"Amazon.de","laptop",10,"B0796FC3Y1","HP (15,6 Zoll) Notebook (AMD E2-9000e 2x2.00 GHz, 4GB DDR4, 500GB S-ATA HDD, DVD±RW, Radeon R2, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10 Prof. 64 Bit) #5579","14,22%","16,66%","B076Q88M8S","HKC Y11CC 29,5 cm (11,6 Zoll) Convertible Notebook mit Tourchscreen (Intel Cherry Trail 1.44 GHz, 2 GB RAM, 32 GB eMMC, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10) Navy blau","6,90%","6,66%","B07D5H84NL","14.1 Vollständiger HD Windows 10 Laptop - 4GB RAM 32GB Speicher, T90B+ Pro Modell Notebook, Intel 64-bit USB 3.0, 5GHz W-LAN 2X W-LAN Geschwindigkeiten, unterstützt 256GB tf-Karte und 1TB HDD","6,32%","6,18%"
"Amazon.de","smartwatch",11,"B01G8K3P7K","YAMAY Bluetooth Smartwatch Fitness Uhr Intelligente Armbanduhr Fitness Tracker Smart Watch Sport Uhr mit Kamera Schrittzähler Schlaftracker Romte Capture Kompatibel mit Android Smartphone","12,44%","17,13%","B01LF0T51I","Samsung SM-R760NDAADBT Gear S3 frontier Smartwatch (3,3 cm (1,3 Zoll) Display, NFC, Bluetooth, WLAN, Tizen OS, mit Silikon-Armband)","9,79%","3,51%","B07KFGT45S","Smartwatch,Willful Smart Watch Sport Uhr Smart Uhr Fitness Tracker mit Schrittzähler Schlafanalyse 1.54 Zoll Touchscreen,Kamera,SMS Facebook Vibration Kompatible Android Handy für Herren Damen","5,54%","7,42%"
"Amazon.de","paw patrol",12,"B01H0VJCNM","Paw Patrol - Staffel 2 [dt./OV]","14,48%","2,39%","B01H0V27KW","Paw Patrol - Staffel 2 [dt./OV]","11,11%","0,61%","B0758ZH19H","Paw Patrol - Staffel 3, Teil 1 [dt./OV]","9,58%","1,36%"
"Amazon.de","karneval kostüm damen",13,"B004MNNZXU","Fever Kollektion Rotkäppchen Kostüm mit Kleid Unterrock und Umhang mit Kapuze, Small","9,58%","9,98%","B000TAXH42","Smiffys, Damen Sexy Armee Girl Kostüm, Kurzoverall, Gürtel und Mütze, Größe: M, 28864","6,65%","6,33%","B0772S777D","ABYED® Jumpsuit Tier Karton Fasching Halloween Kostüm Sleepsuit Cosplay Fleece-Overall Pyjama Schlafanzug Erwachsene Unisex Lounge","3,39%","4,00%"
"Amazon.de","wasserkocher",14,"B075FC8ZJ3","Philips HD9350/90 Wasserkocher (2200 Watt, 1.7 Liter, Edelstahl)","13,53%","17,42%","B0019QLTMW","Philips HD4646/20  Serie Wasserkocher (1,5 Liter, 2400 Watt, Anti-Kalk), Silber/Schwarz","6,75%","10,11%","B078SSGFNZ","TurboTronic Glas Wasserkocher 1,7 Liter mit Kalkfilter und LED Beleuchtung Blau (innen) BPA Frei, Leistung: 2200 Watt","6,71%","7,53%"
"Amazon.de","marvel",15,"B071VP6XQ3","Guardians","8,97%","5,77%","B07DJTR6T3","Cloak and Dagger - Staffel 1 [dt./OV]","7,47%","1,81%","B07DJX6CDL","Cloak and Dagger - Staffel 1 [dt./OV]","5,43%","0,16%"
"Amazon.de","lego",16,"B00PY3EYQO","Lego 10698 - Classic Große Bausteine-Box","7,04%","4,41%","B00MAWYFTI","The LEGO Movie [dt./OV]","5,14%","0,58%","B00X5XPEHS","Lego City Mini-Movies-Staffel 1","4,69%","1,16%"
"Amazon.de","bibi und tina",17,"B001QCGOSS","Bibi und Tina","20,94%","0,00%","B00I0B6O92","Bibi & Tina - Staffel 1","5,51%","0,00%","B00I0BJI3Q","Bibi & Tina - Staffel 1","5,49%","1,59%"
"Amazon.de","faschingskostüm herren",18,"B00GNSGHXC","Widmann 98872 Kostüm, Mehrfarbig(blau/lila/rosa), M","9,14%","12,78%","B002RC86B4","Original Top Gun Kostüm Topgun Pilotenkostüm Pilot Gr. 52/54 (L), Größe:L","6,21%","7,35%","B00X8ACYZS","Guirca Beerman L","5,21%","5,40%"
